Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Mike Budenholzer,ATL,,5,5,,82,24,58,410,213,197,410,213,197,.520
Brad Stevens,BOS,,5,5,,82,55,27,410,221,189,410,221,189,.539
Kenny Atkinson,BRK,,2,2,,82,28,54,164,48,116,164,48,116,.293
Fred Hoiberg,CHI,,3,3,,82,27,55,246,110,136,246,110,136,.447
Steve Clifford,CHO,,5,5,,82,36,46,410,196,214,410,196,214,.478
Tyronn Lue,CLE,,3,3,,82,50,32,205,128,77,205,128,77,.624
Rick Carlisle,DAL,,10,16,,82,24,58,804,437,367,1296,718,578,.554
Mike Malone,DEN,,3,5,,82,46,36,246,119,127,352,158,194,.449
Stan Van Gundy,DET,,4,12,,82,39,43,328,152,176,907,523,384,.577
Steve Kerr,GSW,,4,4,,82,58,24,328,265,63,328,265,63,.808
Mike D'Antoni,HOU,,2,14,,82,65,17,164,120,44,1045,575,470,.550
Nate McMillan,IND,,2,14,,82,48,34,164,90,74,1094,568,526,.519
Doc Rivers,LAC,,5,19,,82,42,40,410,259,151,1470,846,624,.576
Luke Walton,LAL,,2,2,,82,35,47,164,61,103,164,61,103,.372
David Fizdale,MEM,,2,2,,19,7,12,101,50,51,101,50,51,.495
J.B. Bickerstaff,MEM,,1,2,,63,15,48,63,15,48,134,52,82,.388
Erik Spoelstra,MIA,,10,10,,82,44,38,804,484,320,804,484,320,.602
Jason Kidd,MIL,,4,5,,45,23,22,291,139,152,373,183,190,.491
Joe Prunty,MIL,,1,1,,37,21,16,37,21,16,37,21,16,.568
Tom Thibodeau,MIN,,2,7,,82,47,35,164,78,86,558,333,225,.597
Alvin Gentry,NOP,,3,15,,82,48,34,246,112,134,951,447,504,.470
Jeff Hornacek,NYK,,2,5,,82,29,53,164,60,104,377,161,216,.427
Billy Donovan,OKC,,3,3,,82,48,34,246,150,96,246,150,96,.610
Frank Vogel,ORL,,2,8,,82,25,57,164,54,110,595,304,291,.511
Brett Brown,PHI,,5,5,,82,52,30,410,127,283,410,127,283,.310
Earl Watson,PHO,,3,3,,3,0,3,118,33,85,118,33,85,.280
Jay Triano,PHO,,1,4,,79,21,58,79,21,58,308,108,200,.351
Terry Stotts,POR,,6,10,,82,49,33,492,272,220,775,387,388,.499
Dave Joerger,SAC,,2,5,,82,27,55,164,59,105,410,206,204,.502
Gregg Popovich,SAS,,22,22,,82,47,35,1738,1197,541,1738,1197,541,.689
Dwane Casey,TOR,,7,9,,82,59,23,558,320,238,680,373,307,.549
Quin Snyder,UTA,,4,4,,82,48,34,328,177,151,328,177,151,.540
Scott Brooks,WAS,,2,9,,82,43,39,164,92,72,709,430,279,.606
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
