Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Fri, Nov 5, 2004,8:30p,,Box Score,,New Jersey Nets,L,2OT,106,111,0,1,L 1,
Sat, Nov 6, 2004,8:00p,,Box Score,@,Indiana Pacers,L,,90,100,0,2,L 2,
Tue, Nov 9, 2004,8:30p,,Box Score,,Phoenix Suns,L,,74,94,0,3,L 3,
Sat, Nov 13, 2004,8:30p,,Box Score,,Los Angeles Clippers,L,,96,97,0,4,L 4,
Tue, Nov 16, 2004,10:00p,,Box Score,@,Sacramento Kings,L,,106,113,0,5,L 5,
Wed, Nov 17, 2004,10:30p,,Box Score,@,Golden State Warriors,L,,85,98,0,6,L 6,
Fri, Nov 19, 2004,9:00p,,Box Score,@,Denver Nuggets,L,,81,99,0,7,L 7,
Sun, Nov 21, 2004,9:30p,,Box Score,@,Los Angeles Lakers,L,,93,102,0,8,L 8,
Mon, Nov 22, 2004,9:00p,,Box Score,@,Phoenix Suns,L,,82,100,0,9,L 9,
Wed, Nov 24, 2004,9:00p,,Box Score,@,Utah Jazz,W,,101,99,1,9,W 1,
Sat, Nov 27, 2004,7:30p,,Box Score,@,Cleveland Cavaliers,L,,74,96,1,10,L 1,
Wed, Dec 1, 2004,8:30p,,Box Score,,Los Angeles Lakers,W,,92,84,2,10,W 1,
Fri, Dec 3, 2004,8:30p,,Box Score,,Miami Heat,L,,81,105,2,11,L 1,
Sat, Dec 4, 2004,8:00p,,Box Score,@,Washington Wizards,L,,88,95,2,12,L 2,
Mon, Dec 6, 2004,8:30p,,Box Score,,San Antonio Spurs,L,,75,91,2,13,L 3,
Wed, Dec 8, 2004,8:30p,,Box Score,,Cleveland Cavaliers,W,,113,85,3,13,W 1,
Fri, Dec 10, 2004,8:00p,,Box Score,,Philadelphia 76ers,L,,88,93,3,14,L 1,
Sat, Dec 11, 2004,8:30p,,Box Score,,Minnesota Timberwolves,W,,99,88,4,14,W 1,
Mon, Dec 13, 2004,8:30p,,Box Score,,Dallas Mavericks,L,,93,94,4,15,L 1,
Wed, Dec 15, 2004,8:00p,,Box Score,@,Memphis Grizzlies,W,,96,88,5,15,W 1,
,,,,,,,,,,,,,
Thu, Dec 16, 2004,8:30p,,Box Score,,Milwaukee Bucks,W,,85,77,6,15,W 2,
Sat, Dec 18, 2004,8:30p,,Box Score,,Indiana Pacers,W,,85,71,7,15,W 3,
Mon, Dec 20, 2004,8:30p,,Box Score,,Portland Trail Blazers,W,,92,87,8,15,W 4,
Wed, Dec 22, 2004,7:30p,,Box Score,@,Detroit Pistons,W,,89,82,9,15,W 5,
Sun, Dec 26, 2004,7:00p,,Box Score,@,Milwaukee Bucks,L,,92,99,9,16,L 1,
Tue, Dec 28, 2004,8:30p,,Box Score,,New Jersey Nets,L,,80,84,9,17,L 2,
Sat, Jan 1, 2005,8:30p,,Box Score,,Orlando Magic,W,,105,90,10,17,W 1,
Mon, Jan 3, 2005,8:30p,,Box Score,,Detroit Pistons,L,,80,87,10,18,L 1,
Wed, Jan 5, 2005,8:00p,,Box Score,@,New Orleans Hornets,W,,95,89,11,18,W 1,
Fri, Jan 7, 2005,8:30p,,Box Score,,Utah Jazz,W,,84,78,12,18,W 2,
Sat, Jan 8, 2005,8:30p,,Box Score,,Boston Celtics,W,,102,91,13,18,W 3,
Mon, Jan 10, 2005,8:30p,,Box Score,,Golden State Warriors,W,,94,85,14,18,W 4,
Wed, Jan 12, 2005,8:30p,,Box Score,,Philadelphia 76ers,W,,110,78,15,18,W 5,
Sat, Jan 15, 2005,3:30p,,Box Score,,New York Knicks,W,,86,84,16,18,W 6,
Mon, Jan 17, 2005,1:00p,,Box Score,@,New York Knicks,W,,88,86,17,18,W 7,
Wed, Jan 19, 2005,7:00p,,Box Score,@,Boston Celtics,L,,83,92,17,19,L 1,
Fri, Jan 21, 2005,8:30p,,Box Score,,Atlanta Hawks,W,,95,85,18,19,W 1,
Sat, Jan 22, 2005,7:30p,,Box Score,@,Detroit Pistons,W,,100,89,19,19,W 2,
Mon, Jan 24, 2005,7:30p,,Box Score,@,Atlanta Hawks,W,,107,82,20,19,W 3,
Tue, Jan 25, 2005,8:30p,,Box Score,,Denver Nuggets,W,,111,107,21,19,W 4,
,,,,,,,,,,,,,
Thu, Jan 27, 2005,8:30p,,Box Score,,Charlotte Bobcats,W,,101,93,22,19,W 5,
Sat, Jan 29, 2005,8:30p,,Box Score,,Boston Celtics,L,,97,101,22,20,L 1,
Tue, Feb 1, 2005,7:30p,,Box Score,@,New Jersey Nets,L,,97,107,22,21,L 2,
Sat, Feb 5, 2005,7:30p,,Box Score,@,Miami Heat,L,,97,108,22,22,L 3,
Tue, Feb 8, 2005,8:30p,,Box Score,@,Dallas Mavericks,W,,107,100,23,22,W 1,
Wed, Feb 9, 2005,8:30p,,Box Score,@,Houston Rockets,L,,92,105,23,23,L 1,
Sun, Feb 13, 2005,3:30p,,Box Score,@,Minnesota Timberwolves,W,,87,83,24,23,W 1,
Tue, Feb 15, 2005,8:30p,,Box Score,,Sacramento Kings,W,,107,102,25,23,W 2,
Wed, Feb 16, 2005,7:00p,,Box Score,@,Toronto Raptors,W,,121,115,26,23,W 3,
Tue, Feb 22, 2005,8:30p,,Box Score,,Miami Heat,W,OT,105,101,27,23,W 4,
Wed, Feb 23, 2005,7:00p,,Box Score,@,Cleveland Cavaliers,L,,91,100,27,24,L 1,
Fri, Feb 25, 2005,8:30p,,Box Score,,Washington Wizards,W,,97,90,28,24,W 1,
Sat, Feb 26, 2005,7:00p,,Box Score,@,Charlotte Bobcats,W,,94,90,29,24,W 2,
Tue, Mar 1, 2005,8:30p,,Box Score,,Houston Rockets,L,,89,119,29,25,L 1,
Fri, Mar 4, 2005,8:30p,,Box Score,@,San Antonio Spurs,L,,99,102,29,26,L 2,
Sat, Mar 5, 2005,8:30p,,Box Score,@,Milwaukee Bucks,L,,87,95,29,27,L 3,
Mon, Mar 7, 2005,8:30p,,Box Score,,Milwaukee Bucks,W,,90,85,30,27,W 1,
Wed, Mar 9, 2005,10:00p,,Box Score,@,Portland Trail Blazers,W,,97,84,31,27,W 2,
Fri, Mar 11, 2005,10:30p,,Box Score,@,Seattle SuperSonics,W,,100,97,32,27,W 3,
Sun, Mar 13, 2005,3:30p,,Box Score,@,Los Angeles Clippers,L,,78,83,32,28,L 1,
,,,,,,,,,,,,,
Tue, Mar 15, 2005,8:30p,,Box Score,,Seattle SuperSonics,L,,93,99,32,29,L 2,
Wed, Mar 16, 2005,7:30p,,Box Score,@,New Jersey Nets,L,,84,100,32,30,L 3,
Fri, Mar 18, 2005,8:30p,,Box Score,,New Orleans Hornets,L,,90,94,32,31,L 4,
Sat, Mar 19, 2005,7:00p,,Box Score,@,Philadelphia 76ers,W,,94,88,33,31,W 1,
