Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Tue, Nov 2, 2004,8:00p,,Box Score,,Houston Rockets,W,,87,79,1,0,W 1,
Fri, Nov 5, 2004,7:00p,,Box Score,@,Toronto Raptors,L,,89,101,1,1,L 1,
Sat, Nov 6, 2004,7:30p,,Box Score,,Philadelphia 76ers,W,,99,91,2,1,W 1,
Mon, Nov 8, 2004,10:30p,,Box Score,@,Los Angeles Clippers,W,2OT,99,96,3,1,W 2,
Thu, Nov 11, 2004,10:30p,,Box Score,@,Denver Nuggets,L,,109,117,3,2,L 1,
Sat, Nov 13, 2004,9:00p,,Box Score,@,Utah Jazz,L,,93,108,3,3,L 2,
Wed, Nov 17, 2004,7:30p,,Box Score,,Minnesota Timberwolves,W,,93,85,4,3,W 1,
Fri, Nov 19, 2004,8:00p,,Box Score,,Indiana Pacers,L,,82,97,4,4,L 1,
Sun, Nov 21, 2004,6:00p,,Box Score,,Charlotte Bobcats,W,2OT,117,116,5,4,W 1,
Tue, Nov 23, 2004,7:00p,,Box Score,@,Charlotte Bobcats,L,,89,91,5,5,L 1,
Wed, Nov 24, 2004,7:00p,,Box Score,@,Cleveland Cavaliers,L,,76,92,5,6,L 2,
Fri, Nov 26, 2004,8:00p,,Box Score,,Miami Heat,W,,78,77,6,6,W 1,
Sat, Nov 27, 2004,9:00p,,Box Score,@,Milwaukee Bucks,L,,90,96,6,7,L 1,
Tue, Nov 30, 2004,8:30p,,Box Score,@,Houston Rockets,W,,93,72,7,7,W 1,
Fri, Dec 3, 2004,8:00p,,Box Score,@,San Antonio Spurs,L,,77,80,7,8,L 1,
Sat, Dec 4, 2004,8:00p,,Box Score,@,New Orleans Hornets,W,,92,69,8,8,W 1,
Mon, Dec 6, 2004,8:30p,,Box Score,@,Dallas Mavericks,W,,101,85,9,8,W 2,
Wed, Dec 8, 2004,7:30p,,Box Score,,Toronto Raptors,W,OT,90,86,10,8,W 3,
Fri, Dec 10, 2004,8:00p,,Box Score,,Atlanta Hawks,L,,72,88,10,9,L 1,
Sat, Dec 11, 2004,8:00p,,Box Score,@,Memphis Grizzlies,L,,68,72,10,10,L 2,
,,,,,,,,,,,,,
Wed, Dec 15, 2004,8:00p,,Box Score,@,New York Knicks,W,,94,93,11,10,W 1,
Thu, Dec 16, 2004,8:00p,,Box Score,,Cleveland Cavaliers,W,,81,69,12,10,W 2,
Sat, Dec 18, 2004,7:30p,,Box Score,,Portland Trail Blazers,L,,74,75,12,11,L 1,
Wed, Dec 22, 2004,7:30p,,Box Score,,Chicago Bulls,L,,82,89,12,12,L 2,
Sat, Dec 25, 2004,12:30p,,Box Score,@,Indiana Pacers,W,,98,93,13,12,W 1,
Mon, Dec 27, 2004,7:30p,,Box Score,,New Jersey Nets,W,OT,100,90,14,12,W 2,
Wed, Dec 29, 2004,7:00p,,Box Score,@,Washington Wizards,W,,107,105,15,12,W 3,
Thu, Dec 30, 2004,8:00p,,Box Score,,Miami Heat,L,,78,89,15,13,L 1,
Sun, Jan 2, 2005,6:00p,,Box Score,,Boston Celtics,W,,100,88,16,13,W 1,
Mon, Jan 3, 2005,8:30p,,Box Score,@,Chicago Bulls,W,,87,80,17,13,W 2,
Thu, Jan 6, 2005,7:30p,,Box Score,,Memphis Grizzlies,L,,79,101,17,14,L 1,
Fri, Jan 7, 2005,7:30p,,Box Score,@,Boston Celtics,W,,110,104,18,14,W 1,
Tue, Jan 11, 2005,7:30p,,Box Score,@,New Jersey Nets,W,,89,80,19,14,W 2,
Wed, Jan 12, 2005,7:30p,,Box Score,,New Orleans Hornets,W,,90,76,20,14,W 3,
Fri, Jan 14, 2005,8:00p,,Box Score,,Orlando Magic,W,,101,94,21,14,W 4,
Sat, Jan 15, 2005,7:30p,,Box Score,,Philadelphia 76ers,W,,99,95,22,14,W 5,
Mon, Jan 17, 2005,3:30p,,Box Score,,Phoenix Suns,W,,94,80,23,14,W 6,
Tue, Jan 18, 2005,7:00p,,Box Score,@,Orlando Magic,L,,101,103,23,15,L 1,
Fri, Jan 21, 2005,8:30p,,Box Score,@,Milwaukee Bucks,L,,86,89,23,16,L 2,
Sat, Jan 22, 2005,7:30p,,Box Score,,Chicago Bulls,L,,89,100,23,17,L 3,
,,,,,,,,,,,,,
Mon, Jan 24, 2005,8:00p,,Box Score,@,Minnesota Timberwolves,L,,83,86,23,18,L 4,
Wed, Jan 26, 2005,7:30p,,Box Score,,Denver Nuggets,W,,87,70,24,18,W 1,
Thu, Jan 27, 2005,7:00p,,Box Score,@,Indiana Pacers,W,,88,76,25,18,W 2,
Sat, Jan 29, 2005,7:30p,,Box Score,,New York Knicks,W,,91,61,26,18,W 3,
Tue, Feb 1, 2005,7:00p,,Box Score,@,Washington Wizards,W,,105,96,27,18,W 4,
Wed, Feb 2, 2005,7:30p,,Box Score,,Atlanta Hawks,W,,99,84,28,18,W 5,
Sat, Feb 5, 2005,1:00p,,Box Score,@,New Jersey Nets,L,,85,107,28,19,L 1,
Thu, Feb 10, 2005,8:00p,,Box Score,,Los Angeles Lakers,W,,103,81,29,19,W 1,
Sat, Feb 12, 2005,7:30p,,Box Score,,Washington Wizards,W,,107,86,30,19,W 2,
Mon, Feb 14, 2005,7:30p,,Box Score,,Milwaukee Bucks,W,,107,83,31,19,W 3,
Wed, Feb 16, 2005,7:00p,,Box Score,@,Philadelphia 76ers,W,,93,75,32,19,W 4,
Tue, Feb 22, 2005,7:30p,,Box Score,,New York Knicks,W,,97,88,33,19,W 5,
Fri, Feb 25, 2005,10:30p,,Box Score,@,Los Angeles Lakers,W,,111,90,34,19,W 6,
Sun, Feb 27, 2005,9:00p,,Box Score,@,Golden State Warriors,W,,94,88,35,19,W 7,
Tue, Mar 1, 2005,10:00p,,Box Score,@,Portland Trail Blazers,W,,103,93,36,19,W 8,
Thu, Mar 3, 2005,10:30p,,Box Score,@,Phoenix Suns,L,,97,100,36,20,L 1,
Fri, Mar 4, 2005,10:30p,,Box Score,@,Seattle SuperSonics,L,,87,95,36,21,L 2,
Sun, Mar 6, 2005,3:30p,,Box Score,@,Sacramento Kings,L,,85,100,36,22,L 3,
Wed, Mar 9, 2005,7:30p,,Box Score,,Golden State Warriors,W,,92,88,37,22,W 1,
Fri, Mar 11, 2005,7:30p,,Box Score,@,Boston Celtics,L,2OT,113,115,37,23,L 1,
,,,,,,,,,,,,,
Sun, Mar 13, 2005,6:00p,,Box Score,,Utah Jazz,W,,64,62,38,23,W 1,
Mon, Mar 14, 2005,7:30p,,Box Score,@,Atlanta Hawks,W,OT,114,108,39,23,W 2,
Wed, Mar 16, 2005,7:30p,,Box Score,,Seattle SuperSonics,W,,102,95,40,23,W 3,
Fri, Mar 18, 2005,8:00p,,Box Score,,Toronto Raptors,W,,103,92,41,23,W 4,
Sun, Mar 20, 2005,3:30p,,Box Score,,San Antonio Spurs,W,,110,101,42,23,W 5,
Tue, Mar 22, 2005,7:00p,,Box Score,@,Cleveland Cavaliers,L,,76,91,42,24,L 1,
Wed, Mar 23, 2005,8:00p,,Box Score,@,Philadelphia 76ers,L,,84,107,42,25,L 2,
Fri, Mar 25, 2005,8:00p,,Box Score,,Indiana Pacers,L,,81,94,42,26,L 3,
Sat, Mar 26, 2005,7:30p,,Box Score,,Boston Celtics,W,OT,105,99,43,26,W 1,
Mon, Mar 28, 2005,7:30p,,Box Score,,Dallas Mavericks,L,,88,95,43,27,L 1,
Wed, Mar 30, 2005,7:30p,,Box Score,,Sacramento Kings,W,,99,82,44,27,W 1,
Fri, Apr 1, 2005,8:00p,,Box Score,,Los Angeles Clippers,W,,97,84,45,27,W 2,
Sun, Apr 3, 2005,6:00p,,Box Score,@,Toronto Raptors,W,,113,103,46,27,W 3,
Wed, Apr 6, 2005,7:30p,,Box Score,,Washington Wizards,W,,105,93,47,27,W 4,
Fri, Apr 8, 2005,7:00p,,Box Score,@,Orlando Magic,W,,114,102,48,27,W 5,
Sun, Apr 10, 2005,1:00p,,Box Score,@,Miami Heat,W,,80,72,49,27,W 6,
Mon, Apr 11, 2005,8:30p,,Box Score,@,Chicago Bulls,W,OT,85,84,50,27,W 7,
Wed, Apr 13, 2005,7:30p,,Box Score,,Orlando Magic,W,,103,94,51,27,W 8,
Fri, Apr 15, 2005,8:00p,,Box Score,,Milwaukee Bucks,W,,99,73,52,27,W 9,
