Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Nov 3, 2004,7:00p,,Box Score,,Milwaukee Bucks,W,,93,92,1,0,W 1,
Fri, Nov 5, 2004,8:00p,,Box Score,@,New Orleans Hornets,W,,90,89,2,0,W 2,
Sat, Nov 6, 2004,7:00p,,Box Score,@,Charlotte Bobcats,L,,100,111,2,1,L 1,
Tue, Nov 9, 2004,7:00p,,Box Score,,Dallas Mavericks,W,,94,84,3,1,W 1,
Wed, Nov 10, 2004,7:00p,,Box Score,@,Washington Wizards,L,,96,106,3,2,L 1,
Fri, Nov 12, 2004,7:00p,,Box Score,,Los Angeles Lakers,W,,122,113,4,2,W 1,
Sun, Nov 14, 2004,2:00p,,Box Score,@,Philadelphia 76ers,L,,87,96,4,3,L 1,
Wed, Nov 17, 2004,7:00p,,Box Score,,Utah Jazz,W,,107,92,5,3,W 1,
Sat, Nov 20, 2004,8:00p,,Box Score,@,Indiana Pacers,W,,86,83,6,3,W 2,
Wed, Nov 24, 2004,7:00p,,Box Score,,Portland Trail Blazers,L,,83,89,6,4,L 1,
Fri, Nov 26, 2004,7:30p,,Box Score,@,Atlanta Hawks,W,,117,99,7,4,W 1,
Sat, Nov 27, 2004,7:00p,,Box Score,,Philadelphia 76ers,W,,105,99,8,4,W 2,
Mon, Nov 29, 2004,7:00p,,Box Score,,Boston Celtics,L,,101,117,8,5,L 1,
Wed, Dec 1, 2004,7:00p,,Box Score,,Toronto Raptors,W,,129,108,9,5,W 1,
Fri, Dec 3, 2004,7:30p,,Box Score,@,New York Knicks,W,,104,98,10,5,W 2,
Sat, Dec 4, 2004,7:00p,,Box Score,,Memphis Grizzlies,W,,96,91,11,5,W 3,
Mon, Dec 6, 2004,9:00p,,Box Score,@,Denver Nuggets,L,,102,115,11,6,L 1,
Wed, Dec 8, 2004,9:00p,,Box Score,@,Utah Jazz,W,,106,100,12,6,W 1,
Fri, Dec 10, 2004,10:30p,,Box Score,@,Golden State Warriors,W,,113,109,13,6,W 2,
Sun, Dec 12, 2004,9:30p,,Box Score,@,Los Angeles Lakers,L,,98,105,13,7,L 1,
,,,,,,,,,,,,,
Mon, Dec 13, 2004,9:00p,,Box Score,@,Phoenix Suns,L,,100,121,13,8,L 2,
Wed, Dec 15, 2004,8:30p,,Box Score,@,San Antonio Spurs,L,,91,94,13,9,L 3,
Sat, Dec 18, 2004,7:00p,,Box Score,,Denver Nuggets,W,,117,95,14,9,W 1,
Sun, Dec 19, 2004,6:00p,,Box Score,@,Miami Heat,L,,107,117,14,10,L 1,
Wed, Dec 22, 2004,7:00p,,Box Score,,San Antonio Spurs,W,,93,87,15,10,W 1,
Mon, Dec 27, 2004,7:00p,,Box Score,,New York Knicks,L,,111,119,15,11,L 1,
Wed, Dec 29, 2004,7:00p,,Box Score,,Milwaukee Bucks,L,,105,111,15,12,L 2,
Sat, Jan 1, 2005,8:30p,,Box Score,@,Chicago Bulls,L,,90,105,15,13,L 3,
Mon, Jan 3, 2005,7:00p,,Box Score,@,Toronto Raptors,L,,94,105,15,14,L 4,
Wed, Jan 5, 2005,7:00p,,Box Score,,Seattle SuperSonics,W,,105,87,16,14,W 1,
Fri, Jan 7, 2005,7:00p,,Box Score,,Charlotte Bobcats,W,,111,91,17,14,W 2,
Sat, Jan 8, 2005,7:00p,,Box Score,,New Jersey Nets,W,,104,101,18,14,W 3,
Mon, Jan 10, 2005,7:00p,,Box Score,@,Boston Celtics,L,,101,119,18,15,L 1,
Wed, Jan 12, 2005,8:00p,,Box Score,@,Minnesota Timberwolves,W,,87,80,19,15,W 1,
Fri, Jan 14, 2005,8:00p,,Box Score,@,Detroit Pistons,L,,94,101,19,16,L 1,
Sat, Jan 15, 2005,8:00p,,Box Score,@,Indiana Pacers,W,,85,84,20,16,W 1,
