Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Nov 1, 2006,7:30p,,Box Score,,New Orleans/Oklahoma City Hornets,L,,87,91,0,1,L 1,
Fri, Nov 3, 2006,7:30p,,Box Score,,Detroit Pistons,L,,88,101,0,2,L 2,
Sat, Nov 4, 2006,7:00p,,Box Score,@,Washington Wizards,L,,117,124,0,3,L 3,
Wed, Nov 8, 2006,7:30p,,Box Score,,Charlotte Bobcats,W,OT,110,108,1,3,W 1,
Fri, Nov 10, 2006,7:30p,,Box Score,,Utah Jazz,L,,100,107,1,4,L 1,
Sat, Nov 11, 2006,7:30p,,Box Score,@,Cleveland Cavaliers,L,,93,94,1,5,L 2,
Mon, Nov 13, 2006,7:30p,,Box Score,,Orlando Magic,L,,89,92,1,6,L 3,
Wed, Nov 15, 2006,7:30p,,Box Score,,Indiana Pacers,W,,114,88,2,6,W 1,
Fri, Nov 17, 2006,7:30p,,Box Score,,Portland Trail Blazers,W,,118,90,3,6,W 2,
Sat, Nov 18, 2006,7:30p,,Box Score,@,New York Knicks,W,,122,118,4,6,W 3,
Wed, Nov 22, 2006,7:00p,,Box Score,@,Charlotte Bobcats,L,,83,92,4,7,L 1,
Fri, Nov 24, 2006,7:30p,,Box Score,,New York Knicks,L,,77,101,4,8,L 2,
Sat, Nov 25, 2006,9:00p,,Box Score,@,Milwaukee Bucks,W,,111,98,5,8,W 1,
Wed, Nov 29, 2006,7:30p,,Box Score,,New Jersey Nets,L,,103,106,5,9,L 1,
Fri, Dec 1, 2006,7:00p,,Box Score,@,Toronto Raptors,L,,102,106,5,10,L 2,
Mon, Dec 4, 2006,8:30p,,Box Score,@,Chicago Bulls,L,,82,100,5,11,L 3,
Wed, Dec 6, 2006,7:30p,,Box Score,,Memphis Grizzlies,L,,96,98,5,12,L 4,
Fri, Dec 8, 2006,7:30p,,Box Score,,Phoenix Suns,L,,111,116,5,13,L 5,
Sat, Dec 9, 2006,7:30p,,Box Score,@,New Jersey Nets,W,,92,90,6,13,W 1,
Mon, Dec 11, 2006,7:30p,,Box Score,@,New York Knicks,W,,97,90,7,13,W 2,
,,,,,,,,,,,,,
Wed, Dec 13, 2006,7:00p,,Box Score,@,Philadelphia 76ers,W,,101,81,8,13,W 3,
