Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Nov 1, 2006,8:00p,,Box Score,@,Detroit Pistons,W,,105,97,1,0,W 1,
Fri, Nov 3, 2006,7:00p,,Box Score,@,Toronto Raptors,L,,92,109,1,1,L 1,
Sat, Nov 4, 2006,8:30p,,Box Score,,Sacramento Kings,W,,104,91,2,1,W 1,
Mon, Nov 6, 2006,8:30p,,Box Score,@,Chicago Bulls,L,,85,110,2,2,L 1,
Wed, Nov 8, 2006,8:00p,,Box Score,,Houston Rockets,L,,93,97,2,3,L 2,
Fri, Nov 10, 2006,7:00p,,Box Score,@,Washington Wizards,L,,111,116,2,4,L 3,
Sat, Nov 11, 2006,8:30p,,Box Score,,Utah Jazz,L,,111,113,2,5,L 4,
Tue, Nov 14, 2006,7:00p,,Box Score,@,Atlanta Hawks,W,,103,101,3,5,W 1,
Wed, Nov 15, 2006,7:30p,,Box Score,@,New Jersey Nets,L,,87,100,3,6,L 1,
Sat, Nov 18, 2006,8:30p,,Box Score,,Indiana Pacers,L,,100,102,3,7,L 2,
Tue, Nov 21, 2006,7:00p,,Box Score,@,Indiana Pacers,L,,88,93,3,8,L 3,
Wed, Nov 22, 2006,8:00p,,Box Score,,Philadelphia 76ers,W,,98,94,4,8,W 1,
Sat, Nov 25, 2006,9:00p,,Box Score,,Boston Celtics,L,,98,111,4,9,L 1,
Tue, Nov 28, 2006,10:30p,,Box Score,@,Los Angeles Lakers,W,,109,105,5,9,W 1,
Fri, Dec 1, 2006,9:00p,,Box Score,@,Phoenix Suns,L,,116,122,5,10,L 1,
Sat, Dec 2, 2006,10:30p,,Box Score,@,Golden State Warriors,W,,115,110,6,10,W 1,
Mon, Dec 4, 2006,9:00p,,Box Score,@,Utah Jazz,L,,88,101,6,11,L 1,
Wed, Dec 6, 2006,8:00p,,Box Score,,Portland Trail Blazers,W,OT,102,94,7,11,W 1,
Fri, Dec 8, 2006,8:30p,,Box Score,,Memphis Grizzlies,W,,100,94,8,11,W 2,
Sat, Dec 9, 2006,7:30p,,Box Score,@,New York Knicks,L,,107,115,8,12,L 1,
,,,,,,,,,,,,,
Tue, Dec 12, 2006,8:00p,,Box Score,,Seattle SuperSonics,W,,94,93,9,12,W 1,
Wed, Dec 13, 2006,7:30p,,Box Score,@,New Jersey Nets,L,,95,108,9,13,L 1,
Fri, Dec 15, 2006,8:30p,,Box Score,@,Chicago Bulls,L,,111,117,9,14,L 2,
Sat, Dec 16, 2006,8:30p,,Box Score,,Minnesota Timberwolves,W,,108,104,10,14,W 1,
Wed, Dec 20, 2006,8:00p,,Box Score,,Miami Heat,W,,121,95,11,14,W 2,
Fri, Dec 22, 2006,8:00p,,Box Score,@,Minnesota Timberwolves,W,,113,107,12,14,W 3,
