Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Nov 1, 2006,10:00p,,Box Score,,Portland Trail Blazers,L,,106,110,0,1,L 1,
Fri, Nov 3, 2006,10:30p,,Box Score,@,Los Angeles Lakers,L,,112,118,0,2,L 2,
Sun, Nov 5, 2006,9:00p,,Box Score,,Los Angeles Lakers,W,,117,101,1,2,W 1,
Tue, Nov 7, 2006,7:30p,,Box Score,@,Miami Heat,L,,87,90,1,3,L 1,
Wed, Nov 8, 2006,7:00p,,Box Score,@,Orlando Magic,L,,87,88,1,4,L 2,
Fri, Nov 10, 2006,7:00p,,Box Score,@,Charlotte Bobcats,W,,99,85,2,4,W 1,
Sat, Nov 11, 2006,7:00p,,Box Score,@,Atlanta Hawks,W,OT,113,112,3,4,W 2,
Mon, Nov 13, 2006,7:30p,,Box Score,@,New Jersey Nets,W,,119,113,4,4,W 3,
Wed, Nov 15, 2006,10:00p,,Box Score,,Philadelphia 76ers,L,,90,96,4,5,L 1,
Fri, Nov 17, 2006,10:30p,,Box Score,,Utah Jazz,L,,109,118,4,6,L 2,
Sat, Nov 18, 2006,10:30p,,Box Score,@,Golden State Warriors,L,,95,107,4,7,L 3,
Mon, Nov 20, 2006,10:00p,,Box Score,,New Jersey Nets,W,,99,87,5,7,W 1,
Wed, Nov 22, 2006,10:30p,,Box Score,@,Los Angeles Clippers,W,,95,85,6,7,W 2,
Fri, Nov 24, 2006,10:30p,,Box Score,,Sacramento Kings,L,,100,109,6,8,L 1,
Sun, Nov 26, 2006,9:00p,,Box Score,,San Antonio Spurs,L,,78,98,6,9,L 2,
Wed, Nov 29, 2006,10:00p,,Box Score,,Orlando Magic,L,,84,94,6,10,L 3,
Fri, Dec 1, 2006,10:30p,,Box Score,,Indiana Pacers,W,,105,103,7,10,W 1,
Sat, Dec 2, 2006,9:00p,,Box Score,@,Utah Jazz,L,,107,109,7,11,L 1,
Tue, Dec 5, 2006,10:00p,,Box Score,,Atlanta Hawks,W,,102,87,8,11,W 1,
