Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Nov 1, 2006,7:30p,,Box Score,@,New Jersey Nets,L,,92,102,0,1,L 1,
Fri, Nov 3, 2006,7:00p,,Box Score,,Milwaukee Bucks,W,,109,92,1,1,W 1,
Sun, Nov 5, 2006,1:00p,,Box Score,,San Antonio Spurs,L,,94,103,1,2,L 1,
Wed, Nov 8, 2006,7:00p,,Box Score,,Philadelphia 76ers,W,,106,104,2,2,W 1,
Fri, Nov 10, 2006,7:00p,,Box Score,,Atlanta Hawks,L,,102,111,2,3,L 1,
Sun, Nov 12, 2006,9:00p,,Box Score,@,Sacramento Kings,L,,92,107,2,4,L 2,
Tue, Nov 14, 2006,10:30p,,Box Score,@,Golden State Warriors,L,,99,110,2,5,L 3,
Fri, Nov 17, 2006,10:30p,,Box Score,@,Los Angeles Lakers,L,,100,107,2,6,L 4,
Sat, Nov 18, 2006,9:00p,,Box Score,@,Denver Nuggets,L,,109,117,2,7,L 5,
Mon, Nov 20, 2006,9:00p,,Box Score,@,Utah Jazz,L,,96,101,2,8,L 6,
Wed, Nov 22, 2006,7:00p,,Box Score,,Cleveland Cavaliers,W,,95,87,3,8,W 1,
Fri, Nov 24, 2006,7:30p,,Box Score,@,Atlanta Hawks,L,,93,97,3,9,L 1,
Sun, Nov 26, 2006,1:00p,,Box Score,,Indiana Pacers,W,,92,83,4,9,W 1,
Tue, Nov 28, 2006,8:00p,,Box Score,@,New Orleans/Oklahoma City Hornets,W,,94,77,5,9,W 2,
Wed, Nov 29, 2006,8:30p,,Box Score,@,Dallas Mavericks,L,,98,117,5,10,L 1,
Fri, Dec 1, 2006,7:00p,,Box Score,,Boston Celtics,W,,106,102,6,10,W 1,
Sat, Dec 2, 2006,8:00p,,Box Score,@,New York Knicks,W,,103,100,7,10,W 2,
Wed, Dec 6, 2006,7:00p,,Box Score,@,Cleveland Cavaliers,L,,91,95,7,11,L 1,
Fri, Dec 8, 2006,8:30p,,Box Score,@,Chicago Bulls,L,,90,93,7,12,L 2,
Sun, Dec 10, 2006,1:00p,,Box Score,,Portland Trail Blazers,L,,83,93,7,13,L 3,
,,,,,,,,,,,,,
Mon, Dec 11, 2006,7:30p,,Box Score,@,Miami Heat,L,,77,99,7,14,L 4,
Wed, Dec 13, 2006,7:00p,,Box Score,@,Orlando Magic,W,,91,84,8,14,W 1,
Fri, Dec 15, 2006,7:00p,,Box Score,,New Jersey Nets,W,,90,78,9,14,W 2,
Sun, Dec 17, 2006,1:00p,,Box Score,,Golden State Warriors,W,,120,115,10,14,W 3,
Tue, Dec 19, 2006,9:00p,,Box Score,@,Phoenix Suns,L,,98,115,10,15,L 1,
Wed, Dec 20, 2006,10:30p,,Box Score,@,Los Angeles Clippers,W,,98,96,11,15,W 1,
Fri, Dec 22, 2006,10:00p,,Box Score,@,Portland Trail Blazers,W,OT,101,100,12,15,W 2,
Sat, Dec 23, 2006,10:00p,,Box Score,@,Seattle SuperSonics,L,,97,110,12,16,L 1,
Wed, Dec 27, 2006,7:00p,,Box Score,,Minnesota Timberwolves,W,,100,97,13,16,W 1,
Fri, Dec 29, 2006,7:00p,,Box Score,,Chicago Bulls,L,,97,107,13,17,L 1,
Sat, Dec 30, 2006,8:00p,,Box Score,@,Memphis Grizzlies,L,,104,110,13,18,L 2,
Wed, Jan 3, 2007,7:00p,,Box Score,,Phoenix Suns,L,,98,100,13,19,L 3,
Fri, Jan 5, 2007,7:00p,,Box Score,,Atlanta Hawks,W,,105,92,14,19,W 1,
Sun, Jan 7, 2007,1:00p,,Box Score,,Washington Wizards,W,,116,111,15,19,W 2,
Tue, Jan 9, 2007,7:30p,,Box Score,@,New Jersey Nets,L,,86,101,15,20,L 1,
Wed, Jan 10, 2007,8:00p,,Box Score,@,Milwaukee Bucks,W,,90,77,16,20,W 1,
Fri, Jan 12, 2007,7:30p,,Box Score,@,Boston Celtics,W,,95,86,17,20,W 2,
Sun, Jan 14, 2007,1:00p,,Box Score,,Dallas Mavericks,L,,96,97,17,21,L 1,
Mon, Jan 15, 2007,2:00p,,Box Score,@,Philadelphia 76ers,W,,104,86,18,21,W 1,
Wed, Jan 17, 2007,7:00p,,Box Score,,Sacramento Kings,W,,101,85,19,21,W 2,
,,,,,,,,,,,,,
Fri, Jan 19, 2007,7:00p,,Box Score,,Utah Jazz,L,,94,102,19,22,L 1,
Mon, Jan 22, 2007,7:00p,,Box Score,,Charlotte Bobcats,W,,105,84,20,22,W 1,
Wed, Jan 24, 2007,7:00p,,Box Score,,New Orleans/Oklahoma City Hornets,W,,90,88,21,22,W 2,
Fri, Jan 26, 2007,7:00p,,Box Score,,Boston Celtics,W,,96,90,22,22,W 3,
Sat, Jan 27, 2007,7:00p,,Box Score,@,Indiana Pacers,L,,84,102,22,23,L 1,
Wed, Jan 31, 2007,7:00p,,Box Score,,Washington Wizards,W,,119,109,23,23,W 1,
Fri, Feb 2, 2007,7:30p,,Box Score,@,Atlanta Hawks,W,,103,91,24,23,W 2,
Sun, Feb 4, 2007,12:00p,,Box Score,,Los Angeles Clippers,W,,122,110,25,23,W 3,
Wed, Feb 7, 2007,7:00p,,Box Score,,Orlando Magic,W,,113,103,26,23,W 4,
Fri, Feb 9, 2007,7:00p,,Box Score,,Los Angeles Lakers,W,,96,92,27,23,W 5,
Sat, Feb 10, 2007,7:30p,,Box Score,@,Detroit Pistons,L,,92,98,27,24,L 1,
Tue, Feb 13, 2007,8:30p,,Box Score,@,Chicago Bulls,W,,112,111,28,24,W 1,
