Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Fri, Nov 2, 2007,7:30p,,Box Score,,Dallas Mavericks,W,,101,94,1,0,W 1,
Sun, Nov 4, 2007,7:30p,,Box Score,@,Detroit Pistons,L,,91,92,1,1,L 1,
Tue, Nov 6, 2007,7:30p,,Box Score,@,New Jersey Nets,L,,82,87,1,2,L 2,
Wed, Nov 7, 2007,7:00p,,Box Score,,Phoenix Suns,W,,105,96,2,2,W 1,
Fri, Nov 9, 2007,7:30p,,Box Score,@,Boston Celtics,L,,83,106,2,3,L 1,
Sun, Nov 11, 2007,2:00p,,Box Score,,Washington Wizards,L,,90,101,2,4,L 2,
Wed, Nov 14, 2007,7:00p,,Box Score,,Charlotte Bobcats,W,,117,109,3,4,W 1,
Fri, Nov 16, 2007,7:30p,,Box Score,,Seattle SuperSonics,L,2OT,123,126,3,5,L 1,
Sat, Nov 17, 2007,8:30p,,Box Score,@,Milwaukee Bucks,L,,96,105,3,6,L 2,
Tue, Nov 20, 2007,7:00p,,Box Score,,San Antonio Spurs,L,,83,95,3,7,L 3,
Wed, Nov 21, 2007,7:30p,,Box Score,@,Miami Heat,W,,82,79,4,7,W 1,
Sat, Nov 24, 2007,8:00p,,Box Score,@,Minnesota Timberwolves,W,,94,87,5,7,W 2,
Tue, Nov 27, 2007,8:30p,,Box Score,@,Chicago Bulls,L,,78,90,5,8,L 1,
Wed, Nov 28, 2007,7:00p,,Box Score,,Milwaukee Bucks,W,,96,80,6,8,W 1,
Fri, Nov 30, 2007,7:30p,,Box Score,,New Orleans Hornets,L,,86,92,6,9,L 1,
Mon, Dec 3, 2007,7:00p,,Box Score,@,Philadelphia 76ers,W,,88,79,7,9,W 1,
Tue, Dec 4, 2007,7:00p,,Box Score,,Detroit Pistons,L,,95,106,7,10,L 1,
Thu, Dec 6, 2007,7:00p,,Box Score,,Minnesota Timberwolves,W,,90,89,8,10,W 1,
Sat, Dec 8, 2007,7:00p,,Box Score,,Memphis Grizzlies,W,,86,78,9,10,W 2,
Mon, Dec 10, 2007,7:00p,,Box Score,@,Orlando Magic,W,,98,87,10,10,W 3,
,,,,,,,,,,,,,
Tue, Dec 11, 2007,7:00p,,Box Score,,Toronto Raptors,L,,88,100,10,11,L 1,
Fri, Dec 14, 2007,8:00p,,Box Score,@,Detroit Pistons,L,,81,91,10,12,L 2,
Sat, Dec 15, 2007,7:00p,,Box Score,,Charlotte Bobcats,W,,93,84,11,12,W 1,
Mon, Dec 17, 2007,7:00p,,Box Score,,Utah Jazz,W,,116,111,12,12,W 2,
Wed, Dec 19, 2007,7:00p,,Box Score,,Miami Heat,W,OT,114,111,13,12,W 3,Game protested and completed on 2008-03-08
Fri, Dec 21, 2007,7:00p,,Box Score,@,Washington Wizards,W,,97,92,14,12,W 4,
Wed, Dec 26, 2007,7:00p,,Box Score,,Indiana Pacers,W,,107,95,15,12,W 5,
Sat, Dec 29, 2007,1:00p,,Box Score,@,Dallas Mavericks,L,,84,97,15,13,L 1,
Wed, Jan 2, 2008,7:00p,,Box Score,@,Cleveland Cavaliers,L,,94,98,15,14,L 2,
Fri, Jan 4, 2008,7:00p,,Box Score,@,Indiana Pacers,L,,91,113,15,15,L 3,
Sat, Jan 5, 2008,7:00p,,Box Score,,New Jersey Nets,L,,107,113,15,16,L 4,
Wed, Jan 9, 2008,7:00p,,Box Score,,Cleveland Cavaliers,W,,90,81,16,16,W 1,
Fri, Jan 11, 2008,7:30p,,Box Score,,Washington Wizards,L,OT,98,102,16,17,L 1,
Sun, Jan 13, 2008,2:00p,,Box Score,,Chicago Bulls,W,,105,84,17,17,W 1,
Tue, Jan 15, 2008,7:00p,,Box Score,,Denver Nuggets,W,,104,93,18,17,W 2,
Wed, Jan 16, 2008,8:00p,,Box Score,@,Milwaukee Bucks,L,,80,87,18,18,L 1,
Fri, Jan 18, 2008,7:00p,,Box Score,@,Toronto Raptors,L,,78,89,18,19,L 2,
Mon, Jan 21, 2008,2:00p,,Box Score,,Portland Trail Blazers,L,OT,109,111,18,20,L 3,
