Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2007,8:00p,,Box Score,,Dallas Mavericks,L,,74,92,0,1,L 1,
Fri, Nov 2, 2007,7:30p,,Box Score,,New York Knicks,W,,110,106,1,1,W 1,
Sun, Nov 4, 2007,8:00p,,Box Score,@,Phoenix Suns,L,,92,103,1,2,L 1,
Tue, Nov 6, 2007,10:30p,,Box Score,@,Golden State Warriors,W,,108,104,2,2,W 1,
Wed, Nov 7, 2007,10:30p,,Box Score,@,Utah Jazz,L,,101,103,2,3,L 1,
Fri, Nov 9, 2007,10:30p,,Box Score,@,Sacramento Kings,W,,93,91,3,3,W 1,
Sun, Nov 11, 2007,9:30p,,Box Score,@,Los Angeles Clippers,W,,103,95,4,3,W 2,
Mon, Nov 12, 2007,9:00p,,Box Score,@,Denver Nuggets,L,,100,122,4,4,L 1,
Wed, Nov 14, 2007,7:00p,,Box Score,,Orlando Magic,L,OT,116,117,4,5,L 2,
Fri, Nov 16, 2007,7:30p,,Box Score,,Utah Jazz,W,,99,94,5,5,W 1,
Tue, Nov 20, 2007,7:00p,,Box Score,,Milwaukee Bucks,L,,107,111,5,6,L 1,
Wed, Nov 21, 2007,8:00p,,Box Score,@,Minnesota Timberwolves,W,,97,86,6,6,W 1,
Sat, Nov 24, 2007,1:00p,,Box Score,,Toronto Raptors,W,,111,108,7,6,W 2,
Sun, Nov 25, 2007,2:30p,,Box Score,@,Indiana Pacers,W,,111,106,8,6,W 3,
Tue, Nov 27, 2007,7:00p,,Box Score,,Boston Celtics,W,OT,109,104,9,6,W 4,
Wed, Nov 28, 2007,7:30p,,Box Score,@,Detroit Pistons,L,,74,109,9,7,L 1,
Fri, Nov 30, 2007,7:00p,,Box Score,@,Toronto Raptors,L,,82,91,9,8,L 2,
Sun, Dec 2, 2007,12:30p,,Box Score,@,Boston Celtics,L,,70,80,9,9,L 3,
Tue, Dec 4, 2007,7:00p,,Box Score,,New Jersey Nets,L,,79,100,9,10,L 4,
Wed, Dec 5, 2007,7:00p,,Box Score,@,Washington Wizards,L,,86,105,9,11,L 5,
,,,,,,,,,,,,,
Sat, Dec 8, 2007,7:00p,,Box Score,@,Charlotte Bobcats,L,,93,96,9,12,L 6,
Tue, Dec 11, 2007,7:00p,,Box Score,,Indiana Pacers,W,,118,105,10,12,W 1,
Fri, Dec 14, 2007,8:00p,,Box Score,@,New Jersey Nets,L,,97,105,10,13,L 1,
Sat, Dec 15, 2007,7:30p,,Box Score,,Philadelphia 76ers,L,,86,92,10,14,L 2,
Mon, Dec 17, 2007,7:00p,,Box Score,,Milwaukee Bucks,W,2OT,104,99,11,14,W 1,
Wed, Dec 19, 2007,7:30p,,Box Score,@,New York Knicks,L,,90,108,11,15,L 1,
Thu, Dec 20, 2007,8:00p,,Box Score,,Los Angeles Lakers,W,,94,90,12,15,W 1,
Sun, Dec 23, 2007,6:00p,,Box Score,,Golden State Warriors,L,,96,105,12,16,L 1,
Tue, Dec 25, 2007,2:30p,,Box Score,,Miami Heat,W,,96,82,13,16,W 1,
Thu, Dec 27, 2007,8:00p,,Box Score,@,Dallas Mavericks,W,,88,81,14,16,W 2,
Sat, Dec 29, 2007,8:00p,,Box Score,@,New Orleans Hornets,L,,76,86,14,17,L 1,
Wed, Jan 2, 2008,7:00p,,Box Score,,Atlanta Hawks,W,,98,94,15,17,W 1,
Fri, Jan 4, 2008,7:30p,,Box Score,,Sacramento Kings,W,,97,93,16,17,W 2,
Sun, Jan 6, 2008,1:00p,,Box Score,@,Toronto Raptors,W,,93,90,17,17,W 3,
Tue, Jan 8, 2008,7:00p,,Box Score,,Seattle SuperSonics,W,,95,79,18,17,W 4,
Wed, Jan 9, 2008,7:00p,,Box Score,@,Atlanta Hawks,L,,81,90,18,18,L 1,
Fri, Jan 11, 2008,7:30p,,Box Score,,Charlotte Bobcats,W,2OT,113,106,19,18,W 1,
Tue, Jan 15, 2008,8:00p,,Box Score,@,Memphis Grizzlies,W,OT,132,124,20,18,W 2,
Thu, Jan 17, 2008,8:00p,,Box Score,@,San Antonio Spurs,W,,90,88,21,18,W 3,
Mon, Jan 21, 2008,8:00p,,Box Score,@,Miami Heat,W,,97,90,22,18,W 4,
,,,,,,,,,,,,,
Wed, Jan 23, 2008,7:00p,,Box Score,,Washington Wizards,W,,121,85,23,18,W 5,
Fri, Jan 25, 2008,7:00p,,Box Score,,Phoenix Suns,L,,108,110,23,19,L 1,
Sun, Jan 27, 2008,3:30p,,Box Score,@,Los Angeles Lakers,W,,98,95,24,19,W 1,
Wed, Jan 30, 2008,9:00p,,Box Score,@,Portland Trail Blazers,W,,84,83,25,19,W 2,
Thu, Jan 31, 2008,10:00p,,Box Score,@,Seattle SuperSonics,L,,95,101,25,20,L 1,
Sat, Feb 2, 2008,7:30p,,Box Score,,Los Angeles Clippers,W,,98,84,26,20,W 1,
Tue, Feb 5, 2008,7:00p,,Box Score,,Boston Celtics,W,,114,113,27,20,W 2,
