Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 29, 2008,10:30p,,Box Score,,New Orleans Hornets,L,,103,108,0,1,L 1,
Fri, Oct 31, 2008,7:00p,,Box Score,@,Toronto Raptors,L,OT,108,112,0,2,L 2,
Sat, Nov 1, 2008,7:30p,,Box Score,@,New Jersey Nets,W,,105,97,1,2,W 1,
Mon, Nov 3, 2008,8:00p,,Box Score,@,Memphis Grizzlies,L,,79,90,1,3,L 1,
Wed, Nov 5, 2008,10:30p,,Box Score,,Denver Nuggets,W,,111,101,2,3,W 1,
Fri, Nov 7, 2008,10:30p,,Box Score,,Memphis Grizzlies,L,,104,109,2,4,L 1,
Sun, Nov 9, 2008,9:00p,,Box Score,@,Sacramento Kings,L,,98,115,2,5,L 2,
Tue, Nov 11, 2008,10:30p,,Box Score,,Minnesota Timberwolves,W,OT,113,110,3,5,W 1,
Thu, Nov 13, 2008,10:30p,,Box Score,,Detroit Pistons,L,,102,107,3,6,L 1,
Sat, Nov 15, 2008,3:30p,,Box Score,@,Los Angeles Clippers,W,,121,103,4,6,W 1,
Tue, Nov 18, 2008,10:30p,,Box Score,,Portland Trail Blazers,W,,111,106,5,6,W 2,
Fri, Nov 21, 2008,10:30p,,Box Score,,Chicago Bulls,L,,110,115,5,7,L 1,
Sun, Nov 23, 2008,5:00p,,Box Score,@,Philadelphia 76ers,L,,81,89,5,8,L 2,
Tue, Nov 25, 2008,7:00p,,Box Score,@,Washington Wizards,L,,100,124,5,9,L 3,
Wed, Nov 26, 2008,7:30p,,Box Score,@,Boston Celtics,L,,111,119,5,10,L 4,
Fri, Nov 28, 2008,7:30p,,Box Score,@,Cleveland Cavaliers,L,,97,112,5,11,L 5,
Sat, Nov 29, 2008,7:30p,,Box Score,@,New York Knicks,L,,125,138,5,12,L 6,
Mon, Dec 1, 2008,10:30p,,Box Score,,Miami Heat,L,OT,129,130,5,13,L 7,
Fri, Dec 5, 2008,8:30p,,Box Score,@,Houston Rockets,L,,112,131,5,14,L 8,
Sat, Dec 6, 2008,8:30p,,Box Score,@,San Antonio Spurs,L,,88,123,5,15,L 9,
,,,,,,,,,,,,,
Mon, Dec 8, 2008,8:00p,,Box Score,@,Oklahoma City Thunder,W,,112,102,6,15,W 1,
Wed, Dec 10, 2008,10:30p,,Box Score,,Milwaukee Bucks,W,,119,96,7,15,W 2,
Fri, Dec 12, 2008,10:30p,,Box Score,,Houston Rockets,L,,108,119,7,16,L 1,
Sat, Dec 13, 2008,9:00p,,Box Score,@,Denver Nuggets,L,,105,123,7,17,L 2,
Mon, Dec 15, 2008,10:30p,,Box Score,,Orlando Magic,L,,98,109,7,18,L 3,
Wed, Dec 17, 2008,7:00p,,Box Score,@,Indiana Pacers,L,,120,127,7,19,L 4,
Fri, Dec 19, 2008,7:30p,,Box Score,@,Atlanta Hawks,L,,99,115,7,20,L 5,
Sat, Dec 20, 2008,7:00p,,Box Score,@,Charlotte Bobcats,W,,110,103,8,20,W 1,
Mon, Dec 22, 2008,7:00p,,Box Score,@,Orlando Magic,L,,81,113,8,21,L 1,
Tue, Dec 23, 2008,7:30p,,Box Score,@,Miami Heat,L,,88,96,8,22,L 2,
Fri, Dec 26, 2008,10:30p,,Box Score,,Boston Celtics,W,,99,89,9,22,W 1,
Sun, Dec 28, 2008,9:30p,,Box Score,@,Los Angeles Lakers,L,,113,130,9,23,L 1,
Mon, Dec 29, 2008,10:30p,,Box Score,,Toronto Raptors,W,,117,111,10,23,W 1,
Wed, Dec 31, 2008,8:00p,,Box Score,@,Oklahoma City Thunder,L,,100,107,10,24,L 1,
Fri, Jan 2, 2009,8:00p,,Box Score,@,Minnesota Timberwolves,L,,108,115,10,25,L 2,
Mon, Jan 5, 2009,9:00p,,Box Score,@,Utah Jazz,L,,114,119,10,26,L 3,
Wed, Jan 7, 2009,10:30p,,Box Score,,Los Angeles Lakers,L,,106,114,10,27,L 4,
Sat, Jan 10, 2009,10:00p,,Box Score,@,Portland Trail Blazers,L,,100,113,10,28,L 5,
Sun, Jan 11, 2009,9:00p,,Box Score,,Indiana Pacers,W,,120,117,11,28,W 1,
Wed, Jan 14, 2009,10:30p,,Box Score,,Sacramento Kings,L,3OT,133,135,11,29,L 1,
,,,,,,,,,,,,,
Fri, Jan 16, 2009,10:30p,,Box Score,,Atlanta Hawks,W,,119,114,12,29,W 1,
Mon, Jan 19, 2009,4:00p,,Box Score,,Washington Wizards,W,,119,98,13,29,W 2,
Wed, Jan 21, 2009,10:30p,,Box Score,,Oklahoma City Thunder,L,,121,122,13,30,L 1,
