Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Tue, Oct 28, 2008,10:30p,,Box Score,,Portland Trail Blazers,W,,96,76,1,0,W 1,
Wed, Oct 29, 2008,10:30p,,Box Score,@,Los Angeles Clippers,W,,117,79,2,0,W 2,
Sat, Nov 1, 2008,9:00p,,Box Score,@,Denver Nuggets,W,,104,97,3,0,W 3,
Wed, Nov 5, 2008,10:30p,,Box Score,,Los Angeles Clippers,W,,106,88,4,0,W 4,
Sun, Nov 9, 2008,9:30p,,Box Score,,Houston Rockets,W,,111,82,5,0,W 5,
Tue, Nov 11, 2008,8:30p,,Box Score,@,Dallas Mavericks,W,,106,99,6,0,W 6,
Wed, Nov 12, 2008,8:00p,,Box Score,@,New Orleans Hornets,W,,93,86,7,0,W 7,
Fri, Nov 14, 2008,10:30p,,Box Score,,Detroit Pistons,L,,95,106,7,1,L 1,
Tue, Nov 18, 2008,10:30p,,Box Score,,Chicago Bulls,W,,116,109,8,1,W 1,
Thu, Nov 20, 2008,10:30p,,Box Score,@,Phoenix Suns,W,,105,92,9,1,W 2,
Fri, Nov 21, 2008,10:30p,,Box Score,,Denver Nuggets,W,,104,90,10,1,W 3,
Sun, Nov 23, 2008,9:30p,,Box Score,,Sacramento Kings,W,,118,108,11,1,W 4,
Tue, Nov 25, 2008,10:30p,,Box Score,,New Jersey Nets,W,,120,93,12,1,W 5,
Fri, Nov 28, 2008,10:30p,,Box Score,,Dallas Mavericks,W,,114,107,13,1,W 6,
Sun, Nov 30, 2008,9:30p,,Box Score,,Toronto Raptors,W,,112,99,14,1,W 7,
Tue, Dec 2, 2008,7:00p,,Box Score,@,Indiana Pacers,L,,117,118,14,2,L 1,
Wed, Dec 3, 2008,7:00p,,Box Score,@,Philadelphia 76ers,W,,114,102,15,2,W 1,
Fri, Dec 5, 2008,7:00p,,Box Score,@,Washington Wizards,W,,106,104,16,2,W 2,
Sun, Dec 7, 2008,9:30p,,Box Score,,Milwaukee Bucks,W,,105,92,17,2,W 3,
Tue, Dec 9, 2008,10:00p,,Box Score,@,Sacramento Kings,L,,101,113,17,3,L 1,
,,,,,,,,,,,,,
Wed, Dec 10, 2008,10:30p,,Box Score,,Phoenix Suns,W,,115,110,18,3,W 1,
Fri, Dec 12, 2008,10:30p,,Box Score,,Sacramento Kings,W,,112,103,19,3,W 2,
Sun, Dec 14, 2008,9:30p,,Box Score,,Minnesota Timberwolves,W,,98,86,20,3,W 3,
Tue, Dec 16, 2008,10:30p,,Box Score,,New York Knicks,W,,116,114,21,3,W 4,
Fri, Dec 19, 2008,8:00p,,Box Score,@,Miami Heat,L,,87,89,21,4,L 1,
Sat, Dec 20, 2008,7:00p,,Box Score,@,Orlando Magic,L,,103,106,21,5,L 2,
Mon, Dec 22, 2008,8:00p,,Box Score,@,Memphis Grizzlies,W,,105,96,22,5,W 1,
Tue, Dec 23, 2008,8:00p,,Box Score,@,New Orleans Hornets,W,,100,87,23,5,W 2,
Thu, Dec 25, 2008,5:00p,,Box Score,,Boston Celtics,W,,92,83,24,5,W 3,
Sun, Dec 28, 2008,9:30p,,Box Score,,Golden State Warriors,W,,130,113,25,5,W 4,
Fri, Jan 2, 2009,10:30p,,Box Score,,Utah Jazz,W,,113,100,26,5,W 5,
Sun, Jan 4, 2009,9:30p,,Box Score,,Portland Trail Blazers,W,,100,86,27,5,W 6,
Tue, Jan 6, 2009,10:30p,,Box Score,,New Orleans Hornets,L,,105,116,27,6,L 1,
Wed, Jan 7, 2009,10:30p,,Box Score,@,Golden State Warriors,W,,114,106,28,6,W 1,
Fri, Jan 9, 2009,10:30p,,Box Score,,Indiana Pacers,W,,121,119,29,6,W 2,
Sun, Jan 11, 2009,9:30p,,Box Score,,Miami Heat,W,,108,105,30,6,W 3,
Tue, Jan 13, 2009,8:30p,,Box Score,@,Houston Rockets,W,,105,100,31,6,W 4,
Wed, Jan 14, 2009,9:00p,,Box Score,@,San Antonio Spurs,L,,111,112,31,7,L 1,
Fri, Jan 16, 2009,10:30p,,Box Score,,Orlando Magic,L,,103,109,31,8,L 2,
Mon, Jan 19, 2009,10:30p,,Box Score,,Cleveland Cavaliers,W,,105,88,32,8,W 1,
,,,,,,,,,,,,,
Wed, Jan 21, 2009,10:30p,,Box Score,@,Los Angeles Clippers,W,,108,97,33,8,W 2,
Thu, Jan 22, 2009,10:30p,,Box Score,,Washington Wizards,W,,117,97,34,8,W 3,
Sun, Jan 25, 2009,3:30p,,Box Score,,San Antonio Spurs,W,,99,85,35,8,W 4,
Tue, Jan 27, 2009,10:30p,,Box Score,,Charlotte Bobcats,L,2OT,110,117,35,9,L 1,
Fri, Jan 30, 2009,8:00p,,Box Score,@,Minnesota Timberwolves,W,,132,119,36,9,W 1,
Sat, Jan 31, 2009,8:00p,,Box Score,@,Memphis Grizzlies,W,,115,98,37,9,W 2,
Mon, Feb 2, 2009,7:30p,,Box Score,@,New York Knicks,W,,126,117,38,9,W 3,
Wed, Feb 4, 2009,7:00p,,Box Score,@,Toronto Raptors,W,,115,107,39,9,W 4,
Thu, Feb 5, 2009,8:00p,,Box Score,@,Boston Celtics,W,OT,110,109,40,9,W 5,
Sun, Feb 8, 2009,3:30p,,Box Score,@,Cleveland Cavaliers,W,,101,91,41,9,W 6,
Tue, Feb 10, 2009,10:30p,,Box Score,,Oklahoma City Thunder,W,,105,98,42,9,W 7,
Wed, Feb 11, 2009,9:00p,,Box Score,@,Utah Jazz,L,,109,113,42,10,L 1,
Tue, Feb 17, 2009,10:30p,,Box Score,,Atlanta Hawks,W,,96,83,43,10,W 1,
Wed, Feb 18, 2009,10:30p,,Box Score,@,Golden State Warriors,W,,129,121,44,10,W 2,
Fri, Feb 20, 2009,10:30p,,Box Score,,New Orleans Hornets,W,OT,115,111,45,10,W 3,
Sun, Feb 22, 2009,7:00p,,Box Score,@,Minnesota Timberwolves,W,,111,108,46,10,W 4,
Tue, Feb 24, 2009,8:00p,,Box Score,@,Oklahoma City Thunder,W,,107,93,47,10,W 5,
Thu, Feb 26, 2009,10:30p,,Box Score,,Phoenix Suns,W,,132,106,48,10,W 6,
Fri, Feb 27, 2009,9:00p,,Box Score,@,Denver Nuggets,L,,79,90,48,11,L 1,
Sun, Mar 1, 2009,3:30p,,Box Score,@,Phoenix Suns,L,,111,118,48,12,L 2,
,,,,,,,,,,,,,
Tue, Mar 3, 2009,10:30p,,Box Score,,Memphis Grizzlies,W,,99,89,49,12,W 1,
Fri, Mar 6, 2009,10:30p,,Box Score,,Minnesota Timberwolves,W,,110,90,50,12,W 2,
Mon, Mar 9, 2009,10:00p,,Box Score,@,Portland Trail Blazers,L,,94,111,50,13,L 1,
Wed, Mar 11, 2009,8:30p,,Box Score,@,Houston Rockets,W,,102,96,51,13,W 1,
