Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 27, 2010,8:30p,,Box Score,,Charlotte Bobcats,W,,101,86,1,0,W 1,
Fri, Oct 29, 2010,8:30p,,Box Score,,Memphis Grizzlies,L,,90,91,1,1,L 1,
Sun, Oct 31, 2010,3:30p,,Box Score,@,Los Angeles Clippers,W,,99,83,2,1,W 1,
Wed, Nov 3, 2010,9:00p,,Box Score,@,Denver Nuggets,W,,102,101,3,1,W 2,
Sat, Nov 6, 2010,9:00p,,Box Score,,Denver Nuggets,L,,92,103,3,2,L 1,
Mon, Nov 8, 2010,8:30p,,Box Score,,Boston Celtics,W,,89,87,4,2,W 1,
Wed, Nov 10, 2010,8:00p,,Box Score,@,Memphis Grizzlies,W,,106,91,5,2,W 2,
Fri, Nov 12, 2010,8:30p,,Box Score,,Philadelphia 76ers,W,,99,90,6,2,W 3,
Mon, Nov 15, 2010,8:30p,,Box Score,,New Orleans Hornets,W,,98,95,7,2,W 4,
Wed, Nov 17, 2010,8:00p,,Box Score,@,New Orleans Hornets,L,,97,99,7,3,L 1,
Fri, Nov 19, 2010,9:30p,,Box Score,,Chicago Bulls,L,,83,88,7,4,L 2,
Sat, Nov 20, 2010,8:00p,,Box Score,@,Atlanta Hawks,W,,98,93,8,4,W 1,
Tue, Nov 23, 2010,8:30p,,Box Score,,Detroit Pistons,W,,88,84,9,4,W 2,
Wed, Nov 24, 2010,8:00p,,Box Score,@,Oklahoma City Thunder,W,,111,103,10,4,W 3,
Fri, Nov 26, 2010,8:30p,,Box Score,@,San Antonio Spurs,W,,103,94,11,4,W 4,
Sat, Nov 27, 2010,8:30p,,Box Score,,Miami Heat,W,,106,95,12,4,W 5,
Mon, Nov 29, 2010,8:30p,,Box Score,,Houston Rockets,W,,101,91,13,4,W 6,
Wed, Dec 1, 2010,8:30p,,Box Score,,Minnesota Timberwolves,W,,100,86,14,4,W 7,
Fri, Dec 3, 2010,10:30p,,Box Score,@,Utah Jazz,W,,93,81,15,4,W 8,
Sat, Dec 4, 2010,10:00p,,Box Score,@,Sacramento Kings,W,,105,103,16,4,W 9,
,,,,,,,,,,,,,
Tue, Dec 7, 2010,8:30p,,Box Score,,Golden State Warriors,W,,105,100,17,4,W 10,
Thu, Dec 9, 2010,8:30p,,Box Score,,New Jersey Nets,W,,102,89,18,4,W 11,
Sat, Dec 11, 2010,8:30p,,Box Score,,Utah Jazz,W,,103,97,19,4,W 12,
Mon, Dec 13, 2010,8:30p,,Box Score,,Milwaukee Bucks,L,,99,103,19,5,L 1,
Wed, Dec 15, 2010,9:30p,,Box Score,,Portland Trail Blazers,W,,103,98,20,5,W 1,
Fri, Dec 17, 2010,9:30p,,Box Score,,Phoenix Suns,W,,106,91,21,5,W 2,
Mon, Dec 20, 2010,7:30p,,Box Score,@,Miami Heat,W,,98,96,22,5,W 3,
Tue, Dec 21, 2010,7:00p,,Box Score,@,Orlando Magic,W,,105,99,23,5,W 4,
Mon, Dec 27, 2010,8:00p,,Box Score,@,Oklahoma City Thunder,W,,103,93,24,5,W 5,
Tue, Dec 28, 2010,8:30p,,Box Score,,Toronto Raptors,L,,76,84,24,6,L 1,
Thu, Dec 30, 2010,9:30p,,Box Score,,San Antonio Spurs,L,,93,99,24,7,L 2,
Sat, Jan 1, 2011,9:00p,,Box Score,@,Milwaukee Bucks,L,,87,99,24,8,L 3,
Sun, Jan 2, 2011,7:00p,,Box Score,@,Cleveland Cavaliers,W,,104,95,25,8,W 1,
Tue, Jan 4, 2011,8:30p,,Box Score,,Portland Trail Blazers,W,,84,81,26,8,W 2,
Thu, Jan 6, 2011,8:00p,,Box Score,,Oklahoma City Thunder,L,,95,99,26,9,L 1,
Sat, Jan 8, 2011,8:30p,,Box Score,,Orlando Magic,L,,107,117,26,10,L 2,
Wed, Jan 12, 2011,7:00p,,Box Score,@,Indiana Pacers,L,,89,102,26,11,L 3,
Fri, Jan 14, 2011,8:00p,,Box Score,@,San Antonio Spurs,L,,89,101,26,12,L 4,
Sat, Jan 15, 2011,8:00p,,Box Score,@,Memphis Grizzlies,L,,70,89,26,13,L 5,
Mon, Jan 17, 2011,3:30p,,Box Score,@,Detroit Pistons,L,,89,103,26,14,L 6,
,,,,,,,,,,,,,
Wed, Jan 19, 2011,9:00p,,Box Score,,Los Angeles Lakers,W,,109,100,27,14,W 1,
Thu, Jan 20, 2011,8:00p,,Box Score,@,Chicago Bulls,L,,77,82,27,15,L 1,
Sat, Jan 22, 2011,7:00p,,Box Score,@,New Jersey Nets,W,,87,86,28,15,W 1,
Tue, Jan 25, 2011,8:30p,,Box Score,,Los Angeles Clippers,W,,112,105,29,15,W 2,
Thu, Jan 27, 2011,8:30p,,Box Score,,Houston Rockets,W,,111,106,30,15,W 3,
