Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2012,8:00p,,Box Score,,San Antonio Spurs,L,,95,99,0,1,L 1,
Fri, Nov 2, 2012,8:00p,,Box Score,,Utah Jazz,W,,88,86,1,1,W 1,
Sat, Nov 3, 2012,8:00p,,Box Score,@,Chicago Bulls,W,,89,82,2,1,W 2,
Wed, Nov 7, 2012,8:00p,,Box Score,,Philadelphia 76ers,L,,62,77,2,2,L 1,
Fri, Nov 9, 2012,8:00p,,Box Score,,Charlotte Bobcats,W,,107,99,3,2,W 1,
Wed, Nov 14, 2012,8:00p,,Box Score,@,Houston Rockets,L,,96,100,3,3,L 1,
Fri, Nov 16, 2012,8:00p,,Box Score,,Oklahoma City Thunder,L,,95,110,3,4,L 2,
Sat, Nov 17, 2012,8:30p,,Box Score,@,Milwaukee Bucks,L,,113,117,3,5,L 3,
Tue, Nov 20, 2012,8:00p,,Box Score,,New York Knicks,L,,80,102,3,6,L 4,
Wed, Nov 21, 2012,7:00p,,Box Score,@,Indiana Pacers,L,OT,107,115,3,7,L 5,
Fri, Nov 23, 2012,9:00p,,Box Score,@,Phoenix Suns,L,OT,108,111,3,8,L 6,
Sun, Nov 25, 2012,8:00p,,Box Score,@,Denver Nuggets,L,,84,102,3,9,L 7,
Mon, Nov 26, 2012,10:30p,,Box Score,@,Los Angeles Clippers,W,,105,98,4,9,W 1,
Wed, Nov 28, 2012,8:00p,,Box Score,,Utah Jazz,L,,84,96,4,10,L 1,
Sat, Dec 1, 2012,8:00p,,Box Score,,Oklahoma City Thunder,L,,79,100,4,11,L 2,
Mon, Dec 3, 2012,8:00p,,Box Score,,Milwaukee Bucks,W,,102,81,5,11,W 1,
Wed, Dec 5, 2012,8:00p,,Box Score,,Los Angeles Lakers,L,,87,103,5,12,L 1,
Fri, Dec 7, 2012,8:00p,,Box Score,,Memphis Grizzlies,L,,89,96,5,13,L 2,
Sat, Dec 8, 2012,7:30p,,Box Score,@,Miami Heat,L,,90,106,5,14,L 3,
Tue, Dec 11, 2012,8:00p,,Box Score,,Washington Wizards,L,,70,77,5,15,L 4,
,,,,,,,,,,,,,
Wed, Dec 12, 2012,8:00p,,Box Score,@,Oklahoma City Thunder,L,,88,92,5,16,L 5,
Fri, Dec 14, 2012,8:00p,,Box Score,,Minnesota Timberwolves,L,,102,113,5,17,L 6,
Sun, Dec 16, 2012,9:00p,,Box Score,@,Portland Trail Blazers,L,,94,95,5,18,L 7,
Tue, Dec 18, 2012,10:30p,,Box Score,@,Golden State Warriors,L,,96,103,5,19,L 8,
Wed, Dec 19, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,77,93,5,20,L 9,
Fri, Dec 21, 2012,8:30p,,Box Score,@,San Antonio Spurs,L,,94,99,5,21,L 10,
Sat, Dec 22, 2012,8:00p,,Box Score,,Indiana Pacers,L,,75,81,5,22,L 11,
Wed, Dec 26, 2012,7:00p,,Box Score,@,Orlando Magic,W,,97,94,6,22,W 1,
Fri, Dec 28, 2012,8:00p,,Box Score,,Toronto Raptors,L,OT,97,104,6,23,L 1,
Sat, Dec 29, 2012,7:00p,,Box Score,@,Charlotte Bobcats,W,,98,95,7,23,W 1,
Tue, Jan 1, 2013,8:00p,,Box Score,,Atlanta Hawks,L,,86,95,7,24,L 1,
Wed, Jan 2, 2013,8:00p,,Box Score,@,Houston Rockets,L,,92,104,7,25,L 2,
Sat, Jan 5, 2013,8:30p,,Box Score,@,Dallas Mavericks,W,OT,99,96,8,25,W 1,
Mon, Jan 7, 2013,8:00p,,Box Score,,San Antonio Spurs,W,,95,88,9,25,W 2,
Wed, Jan 9, 2013,8:00p,,Box Score,,Houston Rockets,W,,88,79,10,25,W 3,
Fri, Jan 11, 2013,8:00p,,Box Score,,Minnesota Timberwolves,W,,104,92,11,25,W 4,
Sun, Jan 13, 2013,12:00p,,Box Score,@,New York Knicks,L,,87,100,11,26,L 1,
Tue, Jan 15, 2013,7:00p,,Box Score,@,Philadelphia 76ers,W,,111,99,12,26,W 1,
Wed, Jan 16, 2013,8:00p,,Box Score,@,Boston Celtics,W,,90,78,13,26,W 2,
Sat, Jan 19, 2013,8:00p,,Box Score,,Golden State Warriors,L,,112,116,13,27,L 1,
,,,,,,,,,,,,,
Mon, Jan 21, 2013,1:00p,,Box Score,,Sacramento Kings,W,,114,105,14,27,W 1,
Wed, Jan 23, 2013,8:30p,,Box Score,@,San Antonio Spurs,L,,102,106,14,28,L 1,
Fri, Jan 25, 2013,8:00p,,Box Score,,Houston Rockets,L,,82,100,14,29,L 2,
Sun, Jan 27, 2013,6:00p,,Box Score,@,Memphis Grizzlies,W,,91,83,15,29,W 1,
Tue, Jan 29, 2013,10:30p,,Box Score,@,Los Angeles Lakers,L,,106,111,15,30,L 1,
Wed, Jan 30, 2013,9:00p,,Box Score,@,Utah Jazz,L,,99,104,15,31,L 2,
Fri, Feb 1, 2013,9:00p,,Box Score,@,Denver Nuggets,L,,98,113,15,32,L 3,
Sat, Feb 2, 2013,8:00p,,Box Score,@,Minnesota Timberwolves,L,,86,115,15,33,L 4,
Wed, Feb 6, 2013,8:00p,,Box Score,,Phoenix Suns,W,,93,84,16,33,W 1,
Fri, Feb 8, 2013,7:30p,,Box Score,@,Atlanta Hawks,W,,111,100,17,33,W 2,
Sun, Feb 10, 2013,6:00p,,Box Score,@,Toronto Raptors,L,,89,102,17,34,L 1,
Mon, Feb 11, 2013,7:30p,,Box Score,@,Detroit Pistons,W,,105,86,18,34,W 1,
Wed, Feb 13, 2013,8:00p,,Box Score,,Portland Trail Blazers,W,,99,63,19,34,W 2,
Tue, Feb 19, 2013,8:00p,,Box Score,,Chicago Bulls,L,,87,96,19,35,L 1,
Wed, Feb 20, 2013,8:00p,,Box Score,@,Cleveland Cavaliers,L,,100,105,19,36,L 2,
Fri, Feb 22, 2013,8:00p,,Box Score,,Dallas Mavericks,L,,100,104,19,37,L 3,
Sun, Feb 24, 2013,6:00p,,Box Score,,Sacramento Kings,W,,110,95,20,37,W 1,
Tue, Feb 26, 2013,8:00p,,Box Score,,Brooklyn Nets,L,,97,101,20,38,L 1,
Wed, Feb 27, 2013,8:00p,,Box Score,@,Oklahoma City Thunder,L,,74,119,20,39,L 2,
Fri, Mar 1, 2013,8:00p,,Box Score,,Detroit Pistons,W,,100,95,21,39,W 1,
,,,,,,,,,,,,,
Mon, Mar 4, 2013,8:00p,,Box Score,,Orlando Magic,L,,102,105,21,40,L 1,
Wed, Mar 6, 2013,8:00p,,Box Score,,Los Angeles Lakers,L,,102,108,21,41,L 2,
Sat, Mar 9, 2013,8:00p,,Box Score,@,Memphis Grizzlies,L,,85,96,21,42,L 3,
Sun, Mar 10, 2013,7:00p,,Box Score,,Portland Trail Blazers,W,,98,96,22,42,W 1,
Tue, Mar 12, 2013,7:30p,,Box Score,@,Brooklyn Nets,L,,98,108,22,43,L 1,
Fri, Mar 15, 2013,7:00p,,Box Score,@,Washington Wizards,L,,87,96,22,44,L 2,
Sun, Mar 17, 2013,7:00p,,Box Score,@,Minnesota Timberwolves,L,,95,97,22,45,L 3,
Mon, Mar 18, 2013,8:00p,,Box Score,,Golden State Warriors,L,,72,93,22,46,L 4,
Wed, Mar 20, 2013,8:00p,,Box Score,,Boston Celtics,W,,87,86,23,46,W 1,
Fri, Mar 22, 2013,8:00p,,Box Score,,Memphis Grizzlies,W,,90,83,24,46,W 2,
Mon, Mar 25, 2013,8:00p,,Box Score,,Denver Nuggets,W,,110,86,25,46,W 3,
Wed, Mar 27, 2013,8:00p,,Box Score,,Los Angeles Clippers,L,,91,105,25,47,L 1,
Fri, Mar 29, 2013,8:00p,,Box Score,,Miami Heat,L,,89,108,25,48,L 2,
Sun, Mar 31, 2013,6:00p,,Box Score,,Cleveland Cavaliers,W,,112,92,26,48,W 1,
Wed, Apr 3, 2013,10:30p,,Box Score,@,Golden State Warriors,L,,88,98,26,49,L 1,
Fri, Apr 5, 2013,9:00p,,Box Score,@,Utah Jazz,L,,83,95,26,50,L 2,
Sun, Apr 7, 2013,9:00p,,Box Score,@,Phoenix Suns,W,,95,92,27,50,W 1,
Tue, Apr 9, 2013,10:30p,,Box Score,@,Los Angeles Lakers,L,,96,104,27,51,L 1,
Wed, Apr 10, 2013,10:00p,,Box Score,@,Sacramento Kings,L,,110,121,27,52,L 2,
Fri, Apr 12, 2013,8:00p,,Box Score,,Los Angeles Clippers,L,,93,96,27,53,L 3,
,,,,,,,,,,,,,
Sun, Apr 14, 2013,6:00p,,Box Score,,Dallas Mavericks,L,,89,107,27,54,L 4,
