Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2012,10:30p,,Box Score,,Los Angeles Lakers,W,,116,106,1,0,W 1,
Fri, Nov 2, 2012,8:00p,,Box Score,@,Oklahoma City Thunder,L,,92,106,1,1,L 1,
Sat, Nov 3, 2012,8:00p,,Box Score,@,Houston Rockets,W,OT,95,85,2,1,W 1,
Mon, Nov 5, 2012,8:30p,,Box Score,@,Dallas Mavericks,L,,91,114,2,2,L 1,
Thu, Nov 8, 2012,10:30p,,Box Score,,Los Angeles Clippers,L,,90,103,2,3,L 2,
Sat, Nov 10, 2012,10:00p,,Box Score,,San Antonio Spurs,L,,109,112,2,4,L 3,
Mon, Nov 12, 2012,10:00p,,Box Score,,Atlanta Hawks,L,,87,95,2,5,L 4,
Tue, Nov 13, 2012,10:00p,,Box Score,@,Sacramento Kings,W,,103,86,3,5,W 1,
Fri, Nov 16, 2012,10:00p,,Box Score,,Houston Rockets,W,OT,119,117,4,5,W 2,
Sun, Nov 18, 2012,9:00p,,Box Score,,Chicago Bulls,W,,102,94,5,5,W 3,
Wed, Nov 21, 2012,9:00p,,Box Score,@,Phoenix Suns,L,,87,114,5,6,L 1,
Fri, Nov 23, 2012,10:00p,,Box Score,,Minnesota Timberwolves,W,,103,95,6,6,W 1,
Sun, Nov 25, 2012,3:00p,,Box Score,@,Brooklyn Nets,L,,85,98,6,7,L 1,
Mon, Nov 26, 2012,7:30p,,Box Score,@,Detroit Pistons,L,,101,108,6,8,L 2,
Wed, Nov 28, 2012,7:00p,,Box Score,@,Washington Wizards,L,,82,84,6,9,L 3,
Fri, Nov 30, 2012,7:30p,,Box Score,@,Boston Celtics,L,,78,96,6,10,L 4,
Sat, Dec 1, 2012,7:30p,,Box Score,@,Cleveland Cavaliers,W,2OT,118,117,7,10,W 1,
Mon, Dec 3, 2012,7:00p,,Box Score,@,Charlotte Bobcats,W,OT,118,112,8,10,W 2,
Wed, Dec 5, 2012,7:00p,,Box Score,@,Indiana Pacers,L,,92,99,8,11,L 1,
Sat, Dec 8, 2012,10:00p,,Box Score,,Sacramento Kings,L,,80,99,8,12,L 2,
,,,,,,,,,,,,,
Mon, Dec 10, 2012,10:00p,,Box Score,,Toronto Raptors,W,,92,74,9,12,W 1,
Thu, Dec 13, 2012,10:30p,,Box Score,,San Antonio Spurs,W,,98,90,10,12,W 2,
Sun, Dec 16, 2012,9:00p,,Box Score,,New Orleans Hornets,W,,95,94,11,12,W 3,
Thu, Dec 20, 2012,10:00p,,Box Score,,Denver Nuggets,W,,101,93,12,12,W 4,
Sat, Dec 22, 2012,10:00p,,Box Score,,Phoenix Suns,W,,96,93,13,12,W 5,
Sun, Dec 23, 2012,9:00p,,Box Score,@,Sacramento Kings,L,,96,108,13,13,L 1,
Wed, Dec 26, 2012,10:00p,,Box Score,,Sacramento Kings,W,,109,91,14,13,W 1,
Fri, Dec 28, 2012,10:30p,,Box Score,@,Los Angeles Lakers,L,,87,104,14,14,L 1,
Sat, Dec 29, 2012,10:00p,,Box Score,,Philadelphia 76ers,W,,89,85,15,14,W 1,
Tue, Jan 1, 2013,7:30p,,Box Score,@,New York Knicks,W,,105,100,16,14,W 2,
Wed, Jan 2, 2013,7:00p,,Box Score,@,Toronto Raptors,L,,79,102,16,15,L 1,
Fri, Jan 4, 2013,8:00p,,Box Score,@,Memphis Grizzlies,W,,86,84,17,15,W 1,
Sat, Jan 5, 2013,8:00p,,Box Score,@,Minnesota Timberwolves,W,,102,97,18,15,W 2,
Mon, Jan 7, 2013,10:00p,,Box Score,,Orlando Magic,W,OT,125,119,19,15,W 3,
Thu, Jan 10, 2013,10:30p,,Box Score,,Miami Heat,W,,92,90,20,15,W 4,
Fri, Jan 11, 2013,10:30p,,Box Score,@,Golden State Warriors,L,,97,103,20,16,L 1,
Sun, Jan 13, 2013,9:00p,,Box Score,,Oklahoma City Thunder,L,,83,87,20,17,L 2,
Tue, Jan 15, 2013,9:00p,,Box Score,@,Denver Nuggets,L,OT,111,115,20,18,L 3,
Wed, Jan 16, 2013,10:00p,,Box Score,,Cleveland Cavaliers,L,,88,93,20,19,L 4,
Sat, Jan 19, 2013,10:00p,,Box Score,,Milwaukee Bucks,L,,104,110,20,20,L 5,
,,,,,,,,,,,,,
Mon, Jan 21, 2013,10:00p,,Box Score,,Washington Wizards,L,,95,98,20,21,L 6,
Wed, Jan 23, 2013,10:00p,,Box Score,,Indiana Pacers,W,,100,80,21,21,W 1,
Sat, Jan 26, 2013,10:00p,,Box Score,,Los Angeles Clippers,W,,101,100,22,21,W 2,
Sun, Jan 27, 2013,9:30p,,Box Score,@,Los Angeles Clippers,L,,83,96,22,22,L 1,
Tue, Jan 29, 2013,10:00p,,Box Score,,Dallas Mavericks,W,,106,104,23,22,W 1,
Fri, Feb 1, 2013,9:00p,,Box Score,@,Utah Jazz,L,,77,86,23,23,L 1,
