Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2012,8:00p,,Box Score,@,Chicago Bulls,L,,87,93,0,1,L 1,
Fri, Nov 2, 2012,8:00p,,Box Score,@,Minnesota Timberwolves,L,,80,92,0,2,L 2,
Sat, Nov 3, 2012,7:00p,,Box Score,@,Indiana Pacers,L,2OT,98,106,0,3,L 3,
Mon, Nov 5, 2012,10:00p,,Box Score,,Golden State Warriors,W,,94,92,1,3,W 1,
Wed, Nov 7, 2012,10:00p,,Box Score,,Detroit Pistons,W,,105,103,2,3,W 2,
Fri, Nov 9, 2012,10:00p,,Box Score,,San Antonio Spurs,L,,86,97,2,4,L 1,
Sun, Nov 11, 2012,9:30p,,Box Score,@,Los Angeles Lakers,L,,90,103,2,5,L 2,
Tue, Nov 13, 2012,10:00p,,Box Score,,Portland Trail Blazers,L,,86,103,2,6,L 3,
Fri, Nov 16, 2012,10:00p,,Box Score,,Atlanta Hawks,L,,96,112,2,7,L 4,
Sun, Nov 18, 2012,6:00p,,Box Score,,Brooklyn Nets,L,,90,99,2,8,L 5,
Wed, Nov 21, 2012,10:00p,,Box Score,,Los Angeles Lakers,W,,113,97,3,8,W 1,
Fri, Nov 23, 2012,9:00p,,Box Score,@,Utah Jazz,L,,102,104,3,9,L 1,
Sat, Nov 24, 2012,10:00p,,Box Score,,Utah Jazz,W,,108,97,4,9,W 1,
Tue, Nov 27, 2012,10:00p,,Box Score,,Minnesota Timberwolves,L,,89,97,4,10,L 1,
Fri, Nov 30, 2012,10:00p,,Box Score,,Indiana Pacers,L,,92,97,4,11,L 2,
Sat, Dec 1, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,81,116,4,12,L 3,
Wed, Dec 5, 2012,10:00p,,Box Score,,Toronto Raptors,W,,107,100,5,12,W 1,
Fri, Dec 7, 2012,10:00p,,Box Score,,Orlando Magic,W,,91,82,6,12,W 2,
Sat, Dec 8, 2012,10:00p,,Box Score,@,Portland Trail Blazers,W,,99,80,7,12,W 3,
Mon, Dec 10, 2012,8:30p,,Box Score,@,Dallas Mavericks,L,,96,119,7,13,L 1,
,,,,,,,,,,,,,
Wed, Dec 12, 2012,8:00p,,Box Score,@,Milwaukee Bucks,L,,85,98,7,14,L 2,
Fri, Dec 14, 2012,8:00p,,Box Score,@,Oklahoma City Thunder,L,,103,113,7,15,L 3,
Sun, Dec 16, 2012,6:00p,,Box Score,,Denver Nuggets,L,,97,122,7,16,L 4,
Mon, Dec 17, 2012,9:00p,,Box Score,@,Phoenix Suns,L,,90,101,7,17,L 5,
Wed, Dec 19, 2012,10:00p,,Box Score,,Golden State Warriors,W,,131,127,8,17,W 1,
Fri, Dec 21, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,85,97,8,18,L 1,
Sun, Dec 23, 2012,9:00p,,Box Score,,Portland Trail Blazers,W,,108,96,9,18,W 1,
Wed, Dec 26, 2012,10:00p,,Box Score,@,Portland Trail Blazers,L,,91,109,9,19,L 1,
Fri, Dec 28, 2012,10:00p,,Box Score,,New York Knicks,W,,106,105,10,19,W 1,
Sun, Dec 30, 2012,9:00p,,Box Score,,Boston Celtics,W,,118,96,11,19,W 2,
Tue, Jan 1, 2013,7:30p,,Box Score,@,Detroit Pistons,L,,97,103,11,20,L 1,
Wed, Jan 2, 2013,7:00p,,Box Score,@,Cleveland Cavaliers,W,,97,94,12,20,W 1,
Fri, Jan 4, 2013,7:00p,,Box Score,@,Toronto Raptors,W,,105,96,13,20,W 2,
Sat, Jan 5, 2013,7:30p,,Box Score,@,Brooklyn Nets,L,,93,113,13,21,L 1,
Mon, Jan 7, 2013,10:00p,,Box Score,,Memphis Grizzlies,L,,81,113,13,22,L 2,
Thu, Jan 10, 2013,10:00p,,Box Score,,Dallas Mavericks,L,OT,112,117,13,23,L 3,
Sat, Jan 12, 2013,10:00p,,Box Score,,Miami Heat,L,,99,128,13,24,L 4,
Mon, Jan 14, 2013,10:00p,,Box Score,,Cleveland Cavaliers,W,,124,118,14,24,W 1,
Wed, Jan 16, 2013,10:00p,,Box Score,,Washington Wizards,W,,95,94,15,24,W 2,
Fri, Jan 18, 2013,8:00p,,Box Score,@,Memphis Grizzlies,L,,69,85,15,25,L 1,
,,,,,,,,,,,,,
Sat, Jan 19, 2013,7:00p,,Box Score,@,Charlotte Bobcats,W,,97,93,16,25,W 1,
Mon, Jan 21, 2013,1:00p,,Box Score,@,New Orleans Hornets,L,,105,114,16,26,L 1,
Wed, Jan 23, 2013,10:00p,,Box Score,,Phoenix Suns,L,,96,106,16,27,L 2,
Fri, Jan 25, 2013,10:00p,,Box Score,,Oklahoma City Thunder,L,,95,105,16,28,L 3,
Sat, Jan 26, 2013,9:00p,,Box Score,@,Denver Nuggets,L,,93,121,16,29,L 4,
Mon, Jan 28, 2013,7:00p,,Box Score,@,Washington Wizards,W,,96,94,17,29,W 1,
Wed, Jan 30, 2013,7:30p,,Box Score,@,Boston Celtics,L,,81,99,17,30,L 1,
Fri, Feb 1, 2013,7:30p,,Box Score,@,Philadelphia 76ers,L,,80,89,17,31,L 2,
Sat, Feb 2, 2013,7:30p,,Box Score,@,New York Knicks,L,,81,120,17,32,L 3,
Mon, Feb 4, 2013,9:00p,,Box Score,@,Utah Jazz,L,OT,91,98,17,33,L 4,
Sat, Feb 9, 2013,10:00p,,Box Score,,Utah Jazz,W,,120,109,18,33,W 1,
Sun, Feb 10, 2013,9:00p,,Box Score,,Houston Rockets,W,,117,111,19,33,W 2,
Tue, Feb 12, 2013,8:00p,,Box Score,@,Memphis Grizzlies,L,,101,108,19,34,L 1,
Wed, Feb 13, 2013,8:30p,,Box Score,@,Dallas Mavericks,L,,100,123,19,35,L 2,
Tue, Feb 19, 2013,10:00p,,Box Score,,San Antonio Spurs,L,,102,108,19,36,L 3,
Fri, Feb 22, 2013,7:30p,,Box Score,@,Atlanta Hawks,L,,108,122,19,37,L 4,
Sun, Feb 24, 2013,6:00p,,Box Score,@,New Orleans Hornets,L,,95,110,19,38,L 5,
Tue, Feb 26, 2013,7:30p,,Box Score,@,Miami Heat,L,2OT,129,141,19,39,L 6,
Wed, Feb 27, 2013,7:00p,,Box Score,@,Orlando Magic,W,,125,101,20,39,W 1,
Fri, Mar 1, 2013,8:30p,,Box Score,@,San Antonio Spurs,L,,102,130,20,40,L 1,
,,,,,,,,,,,,,
Sun, Mar 3, 2013,6:00p,,Box Score,,Charlotte Bobcats,W,,119,83,21,40,W 1,
Tue, Mar 5, 2013,10:00p,,Box Score,,Denver Nuggets,L,,113,120,21,41,L 1,
Wed, Mar 6, 2013,10:30p,,Box Score,@,Golden State Warriors,L,,83,87,21,42,L 2,
Fri, Mar 8, 2013,10:00p,,Box Score,,Phoenix Suns,W,,121,112,22,42,W 1,
Sun, Mar 10, 2013,9:00p,,Box Score,,Milwaukee Bucks,L,,113,115,22,43,L 1,
Wed, Mar 13, 2013,10:00p,,Box Score,,Chicago Bulls,W,,121,79,23,43,W 1,
Sun, Mar 17, 2013,9:30p,,Box Score,@,Los Angeles Lakers,L,,102,113,23,44,L 1,
Tue, Mar 19, 2013,10:00p,,Box Score,,Los Angeles Clippers,W,,116,101,24,44,W 1,
Thu, Mar 21, 2013,10:00p,,Box Score,,Minnesota Timberwolves,W,,101,98,25,44,W 2,
Sat, Mar 23, 2013,9:00p,,Box Score,@,Denver Nuggets,L,,95,101,25,45,L 1,
Sun, Mar 24, 2013,9:00p,,Box Score,,Philadelphia 76ers,L,,103,117,25,46,L 2,
Wed, Mar 27, 2013,10:30p,,Box Score,@,Golden State Warriors,W,,105,98,26,46,W 1,
Thu, Mar 28, 2013,10:00p,,Box Score,@,Phoenix Suns,W,,117,103,27,46,W 2,
Sat, Mar 30, 2013,10:00p,,Box Score,,Los Angeles Lakers,L,,98,103,27,47,L 1,
Wed, Apr 3, 2013,10:00p,,Box Score,,Houston Rockets,L,,102,112,27,48,L 2,
Fri, Apr 5, 2013,10:00p,,Box Score,,Dallas Mavericks,L,,108,117,27,49,L 3,
Sun, Apr 7, 2013,6:00p,,Box Score,,Memphis Grizzlies,L,,87,89,27,50,L 4,
Wed, Apr 10, 2013,10:00p,,Box Score,,New Orleans Hornets,W,,121,110,28,50,W 1,
Fri, Apr 12, 2013,8:30p,,Box Score,@,San Antonio Spurs,L,,101,108,28,51,L 1,
