Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 31, 2012,8:00p,,Box Score,@,New Orleans Hornets,W,,99,95,1,0,W 1,
Thu, Nov 1, 2012,9:30p,,Box Score,,Oklahoma City Thunder,W,,86,84,2,0,W 2,
Sat, Nov 3, 2012,8:30p,,Box Score,,Utah Jazz,W,,110,100,3,0,W 3,
Mon, Nov 5, 2012,8:30p,,Box Score,,Indiana Pacers,W,,101,79,4,0,W 4,
Wed, Nov 7, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,84,106,4,1,L 1,
Fri, Nov 9, 2012,10:00p,,Box Score,@,Sacramento Kings,W,,97,86,5,1,W 1,
Sat, Nov 10, 2012,10:00p,,Box Score,@,Portland Trail Blazers,W,,112,109,6,1,W 2,
Tue, Nov 13, 2012,10:30p,,Box Score,@,Los Angeles Lakers,W,,84,82,7,1,W 3,
Thu, Nov 15, 2012,8:30p,,Box Score,,New York Knicks,L,,100,104,7,2,L 1,
Sat, Nov 17, 2012,8:30p,,Box Score,,Denver Nuggets,W,,126,100,8,2,W 1,
Mon, Nov 19, 2012,8:30p,,Box Score,,Los Angeles Clippers,L,,87,92,8,3,L 1,
Wed, Nov 21, 2012,7:30p,,Box Score,@,Boston Celtics,W,,112,100,9,3,W 1,
Fri, Nov 23, 2012,8:00p,,Box Score,@,Indiana Pacers,W,,104,97,10,3,W 2,
Sun, Nov 25, 2012,1:00p,,Box Score,@,Toronto Raptors,W,2OT,111,106,11,3,W 3,
Mon, Nov 26, 2012,7:00p,,Box Score,@,Washington Wizards,W,,118,92,12,3,W 4,
Wed, Nov 28, 2012,7:00p,,Box Score,@,Orlando Magic,W,,110,89,13,3,W 5,
Thu, Nov 29, 2012,8:00p,,Box Score,@,Miami Heat,L,,100,105,13,4,L 1,
Sat, Dec 1, 2012,8:30p,,Box Score,,Memphis Grizzlies,W,OT,99,95,14,4,W 1,
Wed, Dec 5, 2012,8:30p,,Box Score,,Milwaukee Bucks,W,,110,99,15,4,W 2,
