Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 30, 2013,7:00p,,Box Score,,Miami Heat,W,,114,110,1,0,W 1,
Fri, Nov 1, 2013,7:00p,,Box Score,@,Washington Wizards,W,,109,102,2,0,W 2,
Sat, Nov 2, 2013,7:30p,,Box Score,,Chicago Bulls,W,,107,104,3,0,W 3,
Mon, Nov 4, 2013,7:00p,,Box Score,,Golden State Warriors,L,,90,110,3,1,L 1,
Wed, Nov 6, 2013,7:00p,,Box Score,,Washington Wizards,L,,102,116,3,2,L 2,
Fri, Nov 8, 2013,7:00p,,Box Score,,Cleveland Cavaliers,W,,94,79,4,2,W 1,
Sat, Nov 9, 2013,7:30p,,Box Score,@,Cleveland Cavaliers,L,2OT,125,127,4,3,L 1,
Mon, Nov 11, 2013,7:00p,,Box Score,,San Antonio Spurs,L,,85,109,4,4,L 2,
Wed, Nov 13, 2013,7:00p,,Box Score,,Houston Rockets,W,OT,123,117,5,4,W 1,
Fri, Nov 15, 2013,7:30p,,Box Score,@,Atlanta Hawks,L,,103,113,5,5,L 1,
Sat, Nov 16, 2013,8:00p,,Box Score,@,New Orleans Pelicans,L,,98,135,5,6,L 2,
Mon, Nov 18, 2013,8:30p,,Box Score,@,Dallas Mavericks,L,,94,97,5,7,L 3,
Wed, Nov 20, 2013,7:00p,,Box Score,,Toronto Raptors,L,,98,108,5,8,L 4,
Fri, Nov 22, 2013,7:00p,,Box Score,,Milwaukee Bucks,W,OT,115,107,6,8,W 1,
Sat, Nov 23, 2013,7:00p,,Box Score,@,Indiana Pacers,L,,98,106,6,9,L 1,
Wed, Nov 27, 2013,7:00p,,Box Score,@,Orlando Magic,L,,94,105,6,10,L 2,
Fri, Nov 29, 2013,8:00p,,Box Score,,New Orleans Pelicans,L,,105,121,6,11,L 3,
Sun, Dec 1, 2013,3:30p,,Box Score,@,Detroit Pistons,L,,100,115,6,12,L 4,
Tue, Dec 3, 2013,7:00p,,Box Score,,Orlando Magic,W,2OT,126,125,7,12,W 1,
Fri, Dec 6, 2013,7:00p,,Box Score,@,Charlotte Bobcats,L,,88,105,7,13,L 1,
,,,,,,,,,,,,,
Sat, Dec 7, 2013,7:00p,,Box Score,,Denver Nuggets,L,,92,103,7,14,L 2,
Mon, Dec 9, 2013,7:00p,,Box Score,,Los Angeles Clippers,L,,83,94,7,15,L 3,
Wed, Dec 11, 2013,8:00p,,Box Score,@,Minnesota Timberwolves,L,,99,106,7,16,L 4,
Fri, Dec 13, 2013,7:00p,,Box Score,@,Toronto Raptors,L,,100,108,7,17,L 5,
Sat, Dec 14, 2013,8:00p,,Box Score,,Portland Trail Blazers,L,,105,139,7,18,L 6,
Mon, Dec 16, 2013,7:30p,,Box Score,@,Brooklyn Nets,L,,94,130,7,19,L 7,
Fri, Dec 20, 2013,7:00p,,Box Score,,Brooklyn Nets,W,OT,121,120,8,19,W 1,
Sat, Dec 21, 2013,8:30p,,Box Score,@,Milwaukee Bucks,L,,106,116,8,20,L 1,
Sat, Dec 28, 2013,9:00p,,Box Score,@,Phoenix Suns,L,,101,115,8,21,L 2,
Sun, Dec 29, 2013,9:30p,,Box Score,@,Los Angeles Lakers,W,,111,104,9,21,W 1,
Wed, Jan 1, 2014,9:00p,,Box Score,@,Denver Nuggets,W,,114,102,10,21,W 2,
Thu, Jan 2, 2014,10:00p,,Box Score,@,Sacramento Kings,W,,113,104,11,21,W 3,
Sat, Jan 4, 2014,10:00p,,Box Score,@,Portland Trail Blazers,W,,101,99,12,21,W 4,
Mon, Jan 6, 2014,7:00p,,Box Score,,Minnesota Timberwolves,L,,95,126,12,22,L 1,
Tue, Jan 7, 2014,7:00p,,Box Score,@,Cleveland Cavaliers,L,,93,111,12,23,L 2,
Fri, Jan 10, 2014,7:00p,,Box Score,,Detroit Pistons,L,,104,114,12,24,L 3,
Sat, Jan 11, 2014,7:30p,,Box Score,,New York Knicks,L,,92,102,12,25,L 4,
Wed, Jan 15, 2014,7:00p,,Box Score,,Charlotte Bobcats,W,,95,92,13,25,W 1,
Fri, Jan 17, 2014,7:00p,,Box Score,,Miami Heat,L,,86,101,13,26,L 1,
Sat, Jan 18, 2014,8:00p,,Box Score,@,Chicago Bulls,L,,78,103,13,27,L 2,
,,,,,,,,,,,,,
Mon, Jan 20, 2014,2:00p,,Box Score,@,Washington Wizards,L,,99,107,13,28,L 3,
Wed, Jan 22, 2014,7:30p,,Box Score,@,New York Knicks,W,,110,106,14,28,W 1,
Fri, Jan 24, 2014,7:00p,,Box Score,,Toronto Raptors,L,,95,104,14,29,L 1,
Sat, Jan 25, 2014,7:30p,,Box Score,,Oklahoma City Thunder,L,,91,103,14,30,L 2,
Mon, Jan 27, 2014,7:00p,,Box Score,,Phoenix Suns,L,,113,124,14,31,L 3,
Wed, Jan 29, 2014,7:30p,,Box Score,@,Boston Celtics,W,,95,94,15,31,W 1,
Fri, Jan 31, 2014,7:30p,,Box Score,,Atlanta Hawks,L,,99,125,15,32,L 1,
Sat, Feb 1, 2014,7:30p,,Box Score,@,Detroit Pistons,L,,96,113,15,33,L 2,
Mon, Feb 3, 2014,7:30p,,Box Score,@,Brooklyn Nets,L,,102,108,15,34,L 3,
Wed, Feb 5, 2014,7:00p,,Box Score,,Boston Celtics,L,,108,114,15,35,L 4,
