Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 23, 2019,10:00p,,Box Score,@,Portland Trail Blazers,W,,108,100,1,0,W 1,
Fri, Oct 25, 2019,9:00p,,Box Score,,Phoenix Suns,W,OT,108,107,2,0,W 2,
Mon, Oct 28, 2019,10:00p,,Box Score,@,Sacramento Kings,W,,101,94,3,0,W 3,
Tue, Oct 29, 2019,9:00p,,Box Score,,Dallas Mavericks,L,,106,109,3,1,L 1,
Thu, Oct 31, 2019,9:30p,,Box Score,@,New Orleans Pelicans,L,,107,122,3,2,L 2,
Sat, Nov 2, 2019,7:00p,,Box Score,@,Orlando Magic,W,,91,87,4,2,W 1,
Tue, Nov 5, 2019,9:00p,,Box Score,,Miami Heat,W,,109,89,5,2,W 2,
Fri, Nov 8, 2019,9:00p,,Box Score,,Philadelphia 76ers,W,,100,97,6,2,W 3,
Sun, Nov 10, 2019,3:30p,,Box Score,@,Minnesota Timberwolves,W,OT,100,98,7,2,W 4,
Tue, Nov 12, 2019,9:00p,,Box Score,,Atlanta Hawks,L,,121,125,7,3,L 1,
Thu, Nov 14, 2019,10:30p,,Box Score,,Brooklyn Nets,W,,101,93,8,3,W 1,
Sun, Nov 17, 2019,6:00p,,Box Score,@,Memphis Grizzlies,W,,131,114,9,3,W 2,
Wed, Nov 20, 2019,9:00p,,Box Score,,Houston Rockets,W,,105,95,10,3,W 3,
Fri, Nov 22, 2019,9:00p,,Box Score,,Boston Celtics,W,,96,92,11,3,W 4,
Sun, Nov 24, 2019,8:00p,,Box Score,,Phoenix Suns,W,,116,104,12,3,W 5,
Tue, Nov 26, 2019,9:00p,,Box Score,,Washington Wizards,W,,117,104,13,3,W 6,
Sat, Nov 30, 2019,5:00p,,Box Score,@,Sacramento Kings,L,OT,97,100,13,4,L 1,
Tue, Dec 3, 2019,9:00p,,Box Score,,Los Angeles Lakers,L,,96,105,13,5,L 2,
Thu, Dec 5, 2019,7:30p,,Box Score,@,New York Knicks,W,,129,92,14,5,W 1,
Fri, Dec 6, 2019,8:00p,,Box Score,@,Boston Celtics,L,,95,108,14,6,L 1,
,,,,,,,,,,,,,
Sun, Dec 8, 2019,3:00p,,Box Score,@,Brooklyn Nets,L,,102,105,14,7,L 2,
Tue, Dec 10, 2019,8:00p,,Box Score,@,Philadelphia 76ers,L,,92,97,14,8,L 3,
Thu, Dec 12, 2019,10:30p,,Box Score,,Portland Trail Blazers,W,,114,99,15,8,W 1,
Sat, Dec 14, 2019,9:00p,,Box Score,,Oklahoma City Thunder,W,,110,102,16,8,W 2,
Sun, Dec 15, 2019,8:00p,,Box Score,,New York Knicks,W,,111,105,17,8,W 3,
Wed, Dec 18, 2019,9:00p,,Box Score,,Orlando Magic,W,,113,104,18,8,W 4,
Fri, Dec 20, 2019,9:00p,,Box Score,,Minnesota Timberwolves,W,,109,100,19,8,W 5,
