Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 23, 2019,7:30p,,Box Score,@,Brooklyn Nets,W,OT,127,126,1,0,W 1,
Fri, Oct 25, 2019,7:00p,,Box Score,@,Charlotte Hornets,W,,121,99,2,0,W 2,
Sun, Oct 27, 2019,7:00p,,Box Score,,Miami Heat,W,,116,109,3,0,W 3,
Wed, Oct 30, 2019,7:00p,,Box Score,@,Philadelphia 76ers,L,,95,117,3,1,L 1,
Sat, Nov 2, 2019,8:00p,,Box Score,@,Washington Wizards,W,,131,109,4,1,W 1,
Mon, Nov 4, 2019,8:00p,,Box Score,,Milwaukee Bucks,L,,106,134,4,2,L 1,
Wed, Nov 6, 2019,8:00p,,Box Score,@,Memphis Grizzlies,L,,121,137,4,3,L 2,
Fri, Nov 8, 2019,8:00p,,Box Score,,Golden State Warriors,W,OT,125,119,5,3,W 1,
Sun, Nov 10, 2019,3:30p,,Box Score,,Denver Nuggets,L,OT,98,100,5,4,L 1,
Mon, Nov 11, 2019,7:00p,,Box Score,@,Detroit Pistons,W,,120,114,6,4,W 1,
Wed, Nov 13, 2019,8:00p,,Box Score,,San Antonio Spurs,W,,129,114,7,4,W 2,
Fri, Nov 15, 2019,8:00p,,Box Score,,Washington Wizards,L,,116,137,7,5,L 1,
Sat, Nov 16, 2019,8:00p,,Box Score,,Houston Rockets,L,,105,125,7,6,L 2,
Mon, Nov 18, 2019,9:00p,,Box Score,@,Utah Jazz,W,,112,102,8,6,W 1,
Wed, Nov 20, 2019,8:00p,,Box Score,,Utah Jazz,L,,95,103,8,7,L 1,
Sat, Nov 23, 2019,5:00p,,Box Score,,Phoenix Suns,L,,98,100,8,8,L 2,
Mon, Nov 25, 2019,7:30p,,Box Score,@,Atlanta Hawks,W,,125,113,9,8,W 1,
Wed, Nov 27, 2019,8:30p,,Box Score,@,San Antonio Spurs,W,,113,101,10,8,W 2,
Sun, Dec 1, 2019,3:30p,,Box Score,,Memphis Grizzlies,L,,107,115,10,9,L 1,
Wed, Dec 4, 2019,8:30p,,Box Score,@,Dallas Mavericks,L,,114,121,10,10,L 2,
,,,,,,,,,,,,,
Fri, Dec 6, 2019,8:00p,,Box Score,@,Oklahoma City Thunder,L,OT,127,139,10,11,L 3,
Sun, Dec 8, 2019,9:30p,,Box Score,@,Los Angeles Lakers,L,,125,142,10,12,L 4,
Mon, Dec 9, 2019,9:00p,,Box Score,@,Phoenix Suns,L,,109,125,10,13,L 5,
Wed, Dec 11, 2019,8:00p,,Box Score,,Utah Jazz,L,,116,127,10,14,L 6,
Fri, Dec 13, 2019,9:30p,,Box Score,,Los Angeles Clippers,L,,117,124,10,15,L 7,
Wed, Dec 18, 2019,8:00p,,Box Score,,New Orleans Pelicans,L,,99,107,10,16,L 8,
Fri, Dec 20, 2019,9:00p,,Box Score,@,Denver Nuggets,L,,100,109,10,17,L 9,
Sat, Dec 21, 2019,10:00p,,Box Score,@,Portland Trail Blazers,L,,106,113,10,18,L 10,
Mon, Dec 23, 2019,10:30p,,Box Score,@,Golden State Warriors,L,,104,113,10,19,L 11,
Thu, Dec 26, 2019,10:00p,,Box Score,@,Sacramento Kings,W,2OT,105,104,11,19,W 1,
Sat, Dec 28, 2019,8:00p,,Box Score,,Cleveland Cavaliers,L,,88,94,11,20,L 1,
Mon, Dec 30, 2019,8:00p,,Box Score,,Brooklyn Nets,W,OT,122,115,12,20,W 1,
Wed, Jan 1, 2020,8:00p,,Box Score,@,Milwaukee Bucks,L,,104,106,12,21,L 1,
Thu, Jan 2, 2020,8:00p,,Box Score,,Golden State Warriors,W,,99,84,13,21,W 1,
Sun, Jan 5, 2020,7:30p,,Box Score,@,Cleveland Cavaliers,W,,118,103,14,21,W 2,
Tue, Jan 7, 2020,8:00p,,Box Score,@,Memphis Grizzlies,L,,112,119,14,22,L 1,
Thu, Jan 9, 2020,8:00p,,Box Score,,Portland Trail Blazers,W,,116,102,15,22,W 1,
Sat, Jan 11, 2020,5:00p,,Box Score,@,Houston Rockets,L,,109,139,15,23,L 1,
Mon, Jan 13, 2020,8:00p,,Box Score,,Oklahoma City Thunder,L,,104,117,15,24,L 2,
Wed, Jan 15, 2020,8:00p,,Box Score,,Indiana Pacers,L,,99,104,15,25,L 3,
,,,,,,,,,,,,,
Fri, Jan 17, 2020,7:00p,,Box Score,@,Indiana Pacers,L,,114,116,15,26,L 4,
Sat, Jan 18, 2020,8:00p,,Box Score,,Toronto Raptors,L,,112,122,15,27,L 5,
Mon, Jan 20, 2020,8:00p,,Box Score,,Denver Nuggets,L,,100,107,15,28,L 6,
Wed, Jan 22, 2020,8:00p,,Box Score,@,Chicago Bulls,L,,110,117,15,29,L 7,
Fri, Jan 24, 2020,8:00p,,Box Score,,Houston Rockets,L,,124,131,15,30,L 8,
Sat, Jan 25, 2020,8:00p,,Box Score,,Oklahoma City Thunder,L,,104,113,15,31,L 9,
Mon, Jan 27, 2020,8:00p,,Box Score,,Sacramento Kings,L,OT,129,133,15,32,L 10,
Sat, Feb 1, 2020,3:30p,,Box Score,@,Los Angeles Clippers,L,,106,118,15,33,L 11,
Mon, Feb 3, 2020,10:00p,,Box Score,@,Sacramento Kings,L,,109,113,15,34,L 12,
Wed, Feb 5, 2020,8:00p,,Box Score,,Atlanta Hawks,L,,120,127,15,35,L 13,
Sat, Feb 8, 2020,8:00p,,Box Score,,Los Angeles Clippers,W,,142,115,16,35,W 1,
Mon, Feb 10, 2020,7:30p,,Box Score,@,Toronto Raptors,L,,126,137,16,36,L 1,
Wed, Feb 12, 2020,8:00p,,Box Score,,Charlotte Hornets,L,,108,115,16,37,L 2,
Fri, Feb 21, 2020,8:00p,,Box Score,,Boston Celtics,L,,117,127,16,38,L 3,
Sun, Feb 23, 2020,6:00p,,Box Score,@,Denver Nuggets,L,,116,128,16,39,L 4,
Mon, Feb 24, 2020,8:30p,,Box Score,@,Dallas Mavericks,L,,123,139,16,40,L 5,
Wed, Feb 26, 2020,7:30p,,Box Score,@,Miami Heat,W,,129,126,17,40,W 1,
Fri, Feb 28, 2020,7:00p,,Box Score,@,Orlando Magic,L,,125,136,17,41,L 1,
Sun, Mar 1, 2020,3:30p,,Box Score,,Dallas Mavericks,L,,91,111,17,42,L 2,
Tue, Mar 3, 2020,8:00p,,Box Score,@,New Orleans Pelicans,W,,139,134,18,42,W 1,
,,,,,,,,,,,,,
Wed, Mar 4, 2020,8:00p,,Box Score,,Chicago Bulls,W,,115,108,19,42,W 2,
Fri, Mar 6, 2020,8:00p,,Box Score,,Orlando Magic,L,,118,132,19,43,L 1,
Sun, Mar 8, 2020,3:30p,,Box Score,,New Orleans Pelicans,L,,107,120,19,44,L 2,
Tue, Mar 10, 2020,8:00p,,Box Score,@,Houston Rockets,L,,111,117,19,45,L 3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
