Player,Pos,Age,Team,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
Steven Adams,C,26,OKC,58,58,1564,6.0,10.2,.591,0.0,0.1,.333,6.0,10.1,.593,2.5,4.2,.590,4.5,8.0,12.5,3.2,1.2,1.5,2.0,2.6,14.6
Bam Adebayo,PF,22,MIA,65,65,2235,6.6,11.6,.567,0.0,0.2,.077,6.6,11.4,.576,3.8,5.5,.690,2.7,8.3,11.0,5.4,1.3,1.4,3.0,2.6,17.0
LaMarcus Aldridge,C,34,SAS,53,53,1754,8.0,16.3,.493,1.3,3.2,.389,6.8,13.1,.519,3.2,3.9,.827,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5
Nickeil Alexander-Walker,SG,21,NOP,41,0,501,5.5,16.3,.339,2.9,8.4,.342,2.7,7.9,.336,1.2,2.0,.607,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
Grayson Allen,SG,24,MEM,30,0,498,5.7,12.7,.449,2.4,6.6,.363,3.3,6.1,.541,2.2,2.5,.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0
Jarrett Allen,C,21,BRK,64,58,1647,5.8,9.0,.646,0.0,0.1,.000,5.8,8.9,.654,3.2,5.2,.620,4.3,9.0,13.2,1.9,0.8,1.9,1.6,3.1,14.9
Kadeem Allen,SG,27,NYK,10,0,117,5.8,13.5,.432,1.5,4.9,.313,4.3,8.6,.500,2.2,3.4,.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
Al-Farouq Aminu,PF,29,ORL,18,2,380,2.4,8.1,.291,0.9,3.4,.250,1.5,4.7,.320,1.8,2.7,.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
Justin Anderson,SF,26,BRK,3,0,17,2.1,12.7,.167,0.0,6.4,.000,2.1,6.4,.333,2.1,4.2,.500,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4
Kyle Anderson,PF,26,MEM,59,20,1140,4.4,8.8,.493,0.5,2.0,.258,3.9,6.9,.560,1.4,2.1,.652,1.7,6.4,8.1,4.2,1.5,1.0,1.7,2.7,10.6
Ryan Anderson,PF,31,HOU,2,0,14,5.1,18.0,.286,2.6,12.9,.200,2.6,5.1,.500,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
Giannis Antetokounmpo,PF,25,MIL,57,57,1763,12.7,23.3,.547,1.7,5.5,.306,11.0,17.7,.622,7.4,11.6,.633,2.7,13.3,16.0,6.7,1.2,1.2,4.3,3.5,34.5
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,SF,27,MIL,18,2,93,7.4,13.9,.528,0.0,2.7,.000,7.4,11.2,.655,2.7,5.8,.467,4.3,3.1,7.4,3.5,2.3,0.8,4.3,5.0,17.4
Carmelo Anthony,PF,35,POR,50,50,1623,6.4,15.1,.426,1.6,4.3,.371,4.8,10.8,.447,2.5,3.0,.843,1.4,5.6,6.9,1.8,0.9,0.5,1.9,3.1,16.9
OG Anunoby,SF,22,TOR,63,62,1897,5.1,10.0,.507,1.6,4.1,.381,3.5,5.9,.593,1.1,1.6,.686,1.4,5.1,6.5,1.9,1.7,0.8,1.4,2.9,12.8
Ryan Arcidiacono,PG,25,CHI,58,4,930,3.5,8.5,.409,2.1,5.3,.391,1.4,3.2,.439,1.0,1.5,.711,0.8,3.5,4.3,3.7,1.0,0.1,1.4,3.7,10.1
Trevor Ariza,SF,34,TOT,53,21,1493,3.4,7.8,.438,1.9,5.0,.372,1.6,2.8,.556,1.5,1.8,.838,0.8,5.1,5.9,2.2,1.7,0.4,1.4,2.7,10.2
Trevor Ariza,SF,34,SAC,32,0,791,2.9,7.5,.388,2.0,5.6,.352,1.0,2.0,.488,1.0,1.2,.778,1.0,5.7,6.6,2.3,1.6,0.3,1.3,2.9,8.7
Trevor Ariza,SF,34,POR,21,21,702,4.0,8.2,.491,1.7,4.4,.400,2.3,3.8,.595,2.1,2.4,.872,0.7,4.5,5.1,2.1,1.7,0.4,1.4,2.5,11.8
D.J. Augustin,PG,32,ORL,49,6,1215,4.6,11.8,.393,1.8,5.2,.345,2.8,6.6,.430,4.1,4.7,.885,0.5,2.7,3.2,6.6,0.9,0.0,2.0,1.6,15.1
Deandre Ayton,C,21,PHO,30,25,996,9.2,16.8,.548,0.0,0.1,.000,9.2,16.7,.552,2.2,2.8,.769,4.4,8.6,13.0,2.1,0.8,1.8,2.6,3.5,20.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bacon,SG,24,CHO,39,11,687,4.5,12.8,.348,1.0,3.5,.284,3.5,9.3,.373,1.8,2.8,.660,0.8,4.5,5.2,2.7,1.2,0.1,1.9,2.7,11.7
Marvin Bagley III,PF,20,SAC,13,6,334,8.4,18.0,.467,0.4,2.4,.182,8.0,15.6,.510,2.7,3.3,.806,3.1,7.3,10.5,1.1,0.6,1.3,1.9,4.6,19.9
Lonzo Ball,PG,22,NOP,56,47,1817,5.1,12.4,.412,2.8,7.2,.383,2.4,5.3,.453,0.8,1.3,.567,1.2,5.6,6.9,7.8,1.6,0.6,3.4,2.2,13.8
Mo Bamba,C,21,ORL,60,0,868,5.5,11.7,.468,1.5,4.3,.356,3.9,7.4,.534,1.3,1.9,.674,4.1,8.3,12.4,1.7,0.9,3.5,1.7,4.8,13.8
J.J. Barea,PG,35,DAL,26,4,391,6.8,16.5,.413,2.7,7.0,.382,4.1,9.5,.437,1.6,1.7,.944,0.9,3.5,4.4,9.1,0.4,0.2,3.2,2.3,17.9
Harrison Barnes,PF,27,SAC,64,64,2231,5.3,11.5,.459,1.5,3.9,.383,3.8,7.6,.498,3.2,3.9,.803,1.0,4.0,4.9,2.5,0.6,0.2,1.3,1.3,15.2
RJ Barrett,SG,19,NYK,56,55,1704,6.2,15.4,.402,1.3,4.2,.320,4.8,11.2,.432,3.3,5.4,.614,1.1,4.8,5.9,3.0,1.2,0.4,2.6,2.6,17.0
Will Barton,SF,29,DEN,58,58,1916,6.2,13.9,.450,2.0,5.4,.375,4.2,8.5,.498,1.9,2.5,.767,1.4,5.4,6.9,4.0,1.1,0.5,1.7,2.3,16.4
Keita Bates-Diop,SF,24,TOT,39,0,665,4.8,11.3,.428,1.7,5.1,.330,3.1,6.2,.509,2.7,3.7,.710,1.1,4.9,6.1,1.6,0.9,1.1,0.8,2.1,14.0
Keita Bates-Diop,SF,24,MIN,37,0,646,4.8,11.5,.422,1.7,5.2,.330,3.1,6.2,.500,2.6,3.6,.708,1.2,5.0,6.1,1.7,0.9,1.1,0.8,2.0,14.0
Keita Bates-Diop,SF,24,DEN,2,0,19,3.8,3.8,1.000,0.0,0.0,,3.8,3.8,1.000,5.7,7.6,.750,0.0,3.8,3.8,0.0,0.0,1.9,0.0,3.8,13.3
Nicolas Batum,SF,31,CHO,22,3,505,2.0,5.8,.346,1.0,3.5,.286,1.0,2.3,.438,0.6,0.7,.900,1.8,5.3,7.1,4.7,1.2,0.6,1.6,2.9,5.6
Aron Baynes,C,33,PHO,42,28,934,7.1,14.7,.480,2.3,6.5,.351,4.8,8.2,.582,2.2,2.9,.747,2.7,6.4,9.1,2.6,0.4,0.9,1.9,5.4,18.5
Kent Bazemore,SF-SG,30,TOT,64,21,1604,4.2,11.1,.374,1.8,5.1,.342,2.4,6.0,.401,2.4,3.2,.768,0.5,5.7,6.2,1.9,1.6,0.9,1.9,4.1,12.5
Kent Bazemore,SF,30,POR,43,21,1111,3.7,10.6,.347,1.8,5.5,.327,1.8,5.0,.368,1.9,2.3,.806,0.4,5.2,5.6,2.0,1.5,1.0,1.9,3.9,11.0
Kent Bazemore,SG,30,SAC,21,0,493,5.3,12.3,.426,1.6,4.2,.386,3.7,8.2,.446,3.7,5.1,.729,0.8,6.9,7.7,1.8,1.8,0.6,1.8,4.5,15.8
Darius Bazley,PF,19,OKC,53,8,909,3.5,9.1,.383,1.2,4.0,.300,2.3,5.1,.446,1.3,1.9,.681,0.8,6.9,7.8,1.1,0.8,1.4,1.6,1.8,9.4
Bradley Beal,SG,26,WAS,57,57,2053,10.4,22.8,.455,3.0,8.4,.353,7.4,14.4,.515,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Malik Beasley,SG,23,TOT,55,14,1209,6.8,15.9,.425,3.2,8.2,.388,3.6,7.7,.465,1.6,2.0,.818,0.5,3.9,4.4,2.2,1.2,0.2,1.7,2.3,18.3
Malik Beasley,SG,23,DEN,41,0,746,5.6,14.5,.389,2.8,7.8,.360,2.8,6.8,.421,1.6,1.8,.868,0.4,3.3,3.7,2.3,1.5,0.3,1.7,2.4,15.7
Malik Beasley,SG,23,MIN,14,14,463,8.6,18.1,.472,3.8,8.9,.426,4.7,9.2,.517,1.6,2.2,.750,0.7,4.8,5.5,2.1,0.7,0.2,1.6,2.1,22.5
Marco Belinelli,SG,33,SAS,52,0,779,4.9,12.5,.391,2.6,7.2,.368,2.3,5.4,.422,1.5,1.9,.780,0.2,4.0,4.2,3.0,0.5,0.0,0.7,1.9,13.9
Jordan Bell,C-PF,25,TOT,29,0,256,4.9,9.4,.522,0.6,1.7,.333,4.4,7.7,.564,2.7,4.4,.613,4.2,7.2,11.4,2.3,0.4,1.4,3.0,2.7,13.1
Jordan Bell,C,25,MIN,27,0,235,4.9,9.2,.533,0.3,1.4,.222,4.6,7.8,.588,2.6,4.4,.586,4.3,7.7,11.9,2.1,0.3,1.5,2.8,2.6,12.7
Jordan Bell,PF,25,MEM,2,0,21,5.1,12.0,.429,3.4,5.1,.667,1.7,6.9,.250,3.4,3.4,1.000,3.4,1.7,5.1,3.4,1.7,0.0,5.1,3.4,17.1
DeAndre' Bembry,SG,25,ATL,43,4,915,4.1,9.0,.456,0.6,2.6,.231,3.5,6.4,.546,1.0,1.9,.542,1.3,4.6,6.0,3.2,2.2,0.7,2.4,3.3,9.8
Dragan Bender,SF,22,TOT,16,3,286,5.2,11.6,.446,1.9,5.4,.349,3.3,6.2,.531,1.3,1.8,.714,2.0,7.2,9.2,3.5,0.5,1.1,2.6,5.3,13.5
Dragan Bender,SF,22,MIL,7,0,91,4.0,8.3,.476,1.6,3.6,.444,2.4,4.7,.500,0.8,1.2,.667,0.0,7.9,7.9,3.6,0.0,2.0,2.0,6.3,10.3
Dragan Bender,SF,22,GSW,9,3,195,5.7,13.1,.437,2.0,6.3,.324,3.7,6.8,.541,1.5,2.0,.727,3.0,6.8,9.8,3.5,0.7,0.7,3.0,4.8,15.0
Davis Bertans,PF,27,WAS,54,4,1583,6.0,13.9,.434,4.5,10.7,.424,1.5,3.1,.471,2.4,2.8,.852,0.8,4.8,5.6,2.1,0.8,0.8,1.3,3.2,19.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,PG,31,LAC,48,48,1299,3.9,9.0,.428,2.1,5.5,.379,1.8,3.5,.504,0.7,1.1,.659,1.6,5.6,7.2,5.0,1.5,0.7,1.8,4.2,10.5
Khem Birch,C,27,ORL,40,24,777,2.6,5.3,.487,0.0,0.0,.000,2.6,5.3,.491,1.9,3.1,.612,3.2,5.1,8.3,1.6,0.7,1.0,1.1,3.4,7.1
