Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,0-4,0-3,2-2,1-3,2-1,1-1,1-1,1-2,0-2,0-2,0-4,1-1,1-1,1-1,3-1,1-3,2-0,2-0,1-3,1-1,0-4,3-1,2-0,0-2,0-2,0-2,0-3,1-1,2-2
Boston Celtics,4-0,,2-2,2-1,2-2,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,2-0,3-1,1-2,2-0,2-0,3-1,2-0,0-3,3-1,1-1,0-2,2-0,0-2,2-2,0-2,3-0
Brooklyn Nets,3-0,2-2,,3-1,2-2,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,1-1,2-2,1-3,0-2,1-1,3-1,0-2,2-1,2-2,2-0,0-2,2-0,1-1,1-3,0-2,2-2
Chicago Bulls,2-2,1-2,1-3,,1-2,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,2-0,1-2,0-4,0-2,0-2,1-2,1-1,2-2,1-3,2-0,0-2,0-2,1-1,0-4,0-2,3-1
Charlotte Hornets,3-1,2-2,2-2,2-1,,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-0,2-2,1-3,1-1,1-1,2-1,0-2,2-2,0-4,2-0,0-2,1-1,2-0,2-1,0-2,3-1
Cleveland Cavaliers,1-2,0-4,1-3,1-3,1-3,,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,1-1,0-4,1-3,0-2,0-2,3-0,0-2,1-2,1-2,1-1,0-2,0-2,0-2,1-3,0-2,2-2
Dallas Mavericks,1-1,1-1,1-1,2-0,2-0,2-0,,0-3,1-1,2-2,2-2,1-1,2-2,0-3,1-3,0-2,0-2,2-1,1-3,1-1,3-1,1-1,1-1,2-2,2-2,0-3,0-4,0-2,1-3,1-1
Denver Nuggets,1-1,2-0,0-2,2-0,1-1,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1
Detroit Pistons,2-1,1-3,1-2,4-0,0-4,3-1,1-1,1-1,,1-1,1-1,1-3,1-1,1-1,2-0,2-2,0-4,2-0,1-1,4-0,0-2,3-1,1-3,2-0,1-1,0-2,0-2,3-0,0-2,2-1
Golden State Warriors,2-0,1-1,2-0,2-0,2-0,2-0,2-2,3-1,1-1,,1-3,2-0,3-1,3-1,3-1,1-1,1-1,3-1,3-0,2-0,2-1,1-1,1-1,3-1,2-2,4-0,1-2,0-2,2-1,2-0
Houston Rockets,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,1-1,3-1,,2-0,1-2,3-1,3-1,1-1,0-2,1-2,2-2,2-0,1-3,1-1,1-1,3-0,1-2,4-0,3-1,2-0,2-2,1-1
Indiana Pacers,4-0,1-3,2-1,4-0,2-1,3-1,1-1,1-1,3-1,0-2,0-2,,1-1,1-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-3,1-3,2-0,0-2,1-1,1-1,1-2,2-0,3-1
Los Angeles Clippers,1-1,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,1-3,2-1,1-1,,2-2,3-1,1-1,1-1,2-1,1-2,2-0,2-2,2-0,0-2,4-0,1-3,4-0,2-2,0-2,1-2,1-1
Los Angeles Lakers,1-1,1-1,0-2,2-0,2-0,1-1,3-0,1-2,1-1,1-3,1-3,1-1,2-2,,1-2,2-0,0-2,1-3,3-1,0-2,1-2,0-2,0-2,3-1,2-2,3-1,1-3,0-2,2-2,1-1
Memphis Grizzlies,1-1,0-2,1-1,0-2,0-2,1-1,3-1,1-2,0-2,1-3,1-3,1-1,1-3,2-1,,0-2,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-1,2-2,1-3,2-2,0-2,3-1,1-1
Miami Heat,1-3,1-3,2-2,2-1,2-2,4-0,2-0,0-2,2-2,1-1,1-1,0-3,1-1,0-2,2-0,,1-3,0-2,2-0,3-0,1-1,1-3,1-2,1-1,2-0,0-2,2-0,0-4,1-1,3-1
