Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 16, 2016;12:30p;Indiana Pacers;100;Toronto Raptors;90;Box Score;;19,8;
Sat, Apr 16, 2016;3:30p;Houston Rockets;78;Golden State Warriors;104;Box Score;;19,596;
Sat, Apr 16, 2016;7:00p;Boston Celtics;101;Atlanta Hawks;102;Box Score;;18,98;
Sat, Apr 16, 2016;9:30p;Dallas Mavericks;70;Oklahoma City Thunder;108;Box Score;;18,203;
Sun, Apr 17, 2016;3:00p;Detroit Pistons;101;Cleveland Cavaliers;106;Box Score;;20,562;
Sun, Apr 17, 2016;5:30p;Charlotte Hornets;91;Miami Heat;123;Box Score;;19,6;
Sun, Apr 17, 2016;8:00p;Memphis Grizzlies;74;San Antonio Spurs;106;Box Score;;18,418;
Sun, Apr 17, 2016;10:30p;Portland Trail Blazers;95;Los Angeles Clippers;115;Box Score;;19,122;
Mon, Apr 18, 2016;7:00p;Indiana Pacers;87;Toronto Raptors;98;Box Score;;19,8;
Mon, Apr 18, 2016;8:00p;Dallas Mavericks;85;Oklahoma City Thunder;84;Box Score;;18,203;
Mon, Apr 18, 2016;10:30p;Houston Rockets;106;Golden State Warriors;115;Box Score;;19,596;
Tue, Apr 19, 2016;7:00p;Boston Celtics;72;Atlanta Hawks;89;Box Score;;18,972;
Tue, Apr 19, 2016;9:30p;Memphis Grizzlies;68;San Antonio Spurs;94;Box Score;;18,418;
Wed, Apr 20, 2016;7:00p;Charlotte Hornets;103;Miami Heat;115;Box Score;;19,65;
Wed, Apr 20, 2016;8:00p;Detroit Pistons;90;Cleveland Cavaliers;107;Box Score;;20,562;
Wed, Apr 20, 2016;10:30p;Portland Trail Blazers;81;Los Angeles Clippers;102;Box Score;;19,127;
Thu, Apr 21, 2016;7:00p;Oklahoma City Thunder;131;Dallas Mavericks;102;Box Score;;20,15;
Thu, Apr 21, 2016;7:30p;Toronto Raptors;101;Indiana Pacers;85;Box Score;;18,165;
Thu, Apr 21, 2016;9:30p;Golden State Warriors;96;Houston Rockets;97;Box Score;;18,2;
Fri, Apr 22, 2016;7:00p;Cleveland Cavaliers;101;Detroit Pistons;91;Box Score;;21,584;
Fri, Apr 22, 2016;8:00p;Atlanta Hawks;103;Boston Celtics;111;Box Score;;18,624;
Fri, Apr 22, 2016;9:30p;San Antonio Spurs;96;Memphis Grizzlies;87;Box Score;;18,119;
Sat, Apr 23, 2016;3:00p;Toronto Raptors;83;Indiana Pacers;100;Box Score;;18,165;
Sat, Apr 23, 2016;5:30p;Miami Heat;80;Charlotte Hornets;96;Box Score;;19,604;
Sat, Apr 23, 2016;8:00p;Oklahoma City Thunder;119;Dallas Mavericks;108;Box Score;;20,516;
Sat, Apr 23, 2016;10:30p;Los Angeles Clippers;88;Portland Trail Blazers;96;Box Score;;19,761;
Sun, Apr 24, 2016;1:00p;San Antonio Spurs;116;Memphis Grizzlies;95;Box Score;;18,119;
Sun, Apr 24, 2016;3:30p;Golden State Warriors;121;Houston Rockets;94;Box Score;;18,2;
Sun, Apr 24, 2016;6:00p;Atlanta Hawks;95;Boston Celtics;104;Box Score;OT;18,624;
Sun, Apr 24, 2016;8:30p;Cleveland Cavaliers;100;Detroit Pistons;98;Box Score;;21,584;
Mon, Apr 25, 2016;7:00p;Miami Heat;85;Charlotte Hornets;89;Box Score;;19,156;
Mon, Apr 25, 2016;8:00p;Dallas Mavericks;104;Oklahoma City Thunder;118;Box Score;;18,203;
Mon, Apr 25, 2016;10:30p;Los Angeles Clippers;84;Portland Trail Blazers;98;Box Score;;19,607;
Tue, Apr 26, 2016;6:00p;Indiana Pacers;99;Toronto Raptors;102;Box Score;;19,8;
Tue, Apr 26, 2016;8:30p;Boston Celtics;83;Atlanta Hawks;110;Box Score;;18,987;
;;;;;;;;;
Wed, Apr 27, 2016;8:00p;Charlotte Hornets;90;Miami Heat;88;Box Score;;19,685;
Wed, Apr 27, 2016;10:00p;Portland Trail Blazers;108;Los Angeles Clippers;98;Box Score;;19,06;
Wed, Apr 27, 2016;10:30p;Houston Rockets;81;Golden State Warriors;114;Box Score;;19,596;
Thu, Apr 28, 2016;8:00p;Atlanta Hawks;104;Boston Celtics;92;Box Score;;18,624;
Fri, Apr 29, 2016;7:30p;Toronto Raptors;83;Indiana Pacers;101;Box Score;;18,165;
Fri, Apr 29, 2016;8:00p;Miami Heat;97;Charlotte Hornets;90;Box Score;;19,636;
Fri, Apr 29, 2016;10:30p;Los Angeles Clippers;103;Portland Trail Blazers;106;Box Score;;19,768;
Sat, Apr 30, 2016;8:30p;Oklahoma City Thunder;92;San Antonio Spurs;124;Box Score;;18,418;
Sun, May 1, 2016;1:00p;Charlotte Hornets;73;Miami Heat;106;Box Score;;19,868;
Sun, May 1, 2016;3:30p;Portland Trail Blazers;106;Golden State Warriors;118;Box Score;;19,596;
Sun, May 1, 2016;8:00p;Indiana Pacers;84;Toronto Raptors;89;Box Score;;20,669;
Mon, May 2, 2016;7:00p;Atlanta Hawks;93;Cleveland Cavaliers;104;Box Score;;20,562;
Mon, May 2, 2016;9:30p;Oklahoma City Thunder;98;San Antonio Spurs;97;Box Score;;18,418;
Tue, May 3, 2016;8:00p;Miami Heat;102;Toronto Raptors;96;Box Score;OT;19,8;
Tue, May 3, 2016;10:30p;Portland Trail Blazers;99;Golden State Warriors;110;Box Score;;19,596;
Wed, May 4, 2016;8:00p;Atlanta Hawks;98;Cleveland Cavaliers;123;Box Score;;20,562;
Thu, May 5, 2016;8:00p;Miami Heat;92;Toronto Raptors;96;Box Score;OT;20,906;
Fri, May 6, 2016;7:00p;Cleveland Cavaliers;121;Atlanta Hawks;108;Box Score;;19,089;
Fri, May 6, 2016;9:30p;San Antonio Spurs;100;Oklahoma City Thunder;96;Box Score;;18,203;
Sat, May 7, 2016;5:00p;Toronto Raptors;95;Miami Heat;91;Box Score;;19,675;
Sat, May 7, 2016;8:30p;Golden State Warriors;108;Portland Trail Blazers;120;Box Score;;19,673;
Sun, May 8, 2016;3:30p;Cleveland Cavaliers;100;Atlanta Hawks;99;Box Score;;19,031;
Sun, May 8, 2016;8:00p;San Antonio Spurs;97;Oklahoma City Thunder;111;Box Score;;18,203;
Mon, May 9, 2016;8:00p;Toronto Raptors;87;Miami Heat;94;Box Score;OT;19,6;
Mon, May 9, 2016;10:30p;Golden State Warriors;132;Portland Trail Blazers;125;Box Score;OT;19,583;
Tue, May 10, 2016;8:00p;Oklahoma City Thunder;95;San Antonio Spurs;91;Box Score;;18,418;
Wed, May 11, 2016;8:00p;Miami Heat;91;Toronto Raptors;99;Box Score;;20,155;
Wed, May 11, 2016;10:30p;Portland Trail Blazers;121;Golden State Warriors;125;Box Score;;19,596;
Thu, May 12, 2016;8:30p;San Antonio Spurs;99;Oklahoma City Thunder;113;Box Score;;18,203;
Fri, May 13, 2016;8:00p;Toronto Raptors;91;Miami Heat;103;Box Score;;19,757;
Sun, May 15, 2016;3:30p;Miami Heat;89;Toronto Raptors;116;Box Score;;20,257;
Mon, May 16, 2016;9:00p;Oklahoma City Thunder;108;Golden State Warriors;102;Box Score;;19,596;
Tue, May 17, 2016;8:30p;Toronto Raptors;84;Cleveland Cavaliers;115;Box Score;;20,562;
Wed, May 18, 2016;9:00p;Oklahoma City Thunder;91;Golden State Warriors;118;Box Score;;19,596;
Thu, May 19, 2016;8:30p;Toronto Raptors;89;Cleveland Cavaliers;108;Box Score;;20,562;
;;;;;;;;;
Sat, May 21, 2016;8:30p;Cleveland Cavaliers;84;Toronto Raptors;99;Box Score;;20,207;
Sun, May 22, 2016;8:00p;Golden State Warriors;105;Oklahoma City Thunder;133;Box Score;;18,203;
Mon, May 23, 2016;8:30p;Cleveland Cavaliers;99;Toronto Raptors;105;Box Score;;20,367;
Tue, May 24, 2016;9:00p;Golden State Warriors;94;Oklahoma City Thunder;118;Box Score;;18,203;
Wed, May 25, 2016;8:30p;Toronto Raptors;78;Cleveland Cavaliers;116;Box Score;;20,562;
Thu, May 26, 2016;9:00p;Oklahoma City Thunder;111;Golden State Warriors;120;Box Score;;19,596;
Fri, May 27, 2016;8:30p;Cleveland Cavaliers;113;Toronto Raptors;87;Box Score;;20,605;
Sat, May 28, 2016;9:00p;Golden State Warriors;108;Oklahoma City Thunder;101;Box Score;;18,203;
Mon, May 30, 2016;9:00p;Oklahoma City Thunder;88;Golden State Warriors;96;Box Score;;19,596;
Thu, Jun 2, 2016;9:00p;Cleveland Cavaliers;89;Golden State Warriors;104;Box Score;;19,596;
Sun, Jun 5, 2016;8:00p;Cleveland Cavaliers;77;Golden State Warriors;110;Box Score;;19,596;
Wed, Jun 8, 2016;9:00p;Golden State Warriors;90;Cleveland Cavaliers;120;Box Score;;20,562;
Fri, Jun 10, 2016;9:00p;Golden State Warriors;108;Cleveland Cavaliers;97;Box Score;;20,562;
Mon, Jun 13, 2016;9:00p;Cleveland Cavaliers;112;Golden State Warriors;97;Box Score;;19,596;
